Germany, Total live births
Last modified: 04/02/2019
Year         Total
1956    1137168.99
1957    1165555.07
1958    1175870.05
1959    1243922.00
1960    1261614.03
1961    1313504.93
1962    1316534.00
1963    1355595.00
1964    1357303.99
1965    1325386.03
1966    1318303.04
1967    1272275.99
1968    1214968.03
1969    1142366.01
1970    1047736.95
1971    1013396.01
1972     901657.00
1973     815968.97
1974     805500.03
1975     782309.98
1976     798334.00
1977     805495.98
1978     808618.99
1979     817217.01
1980     865789.00
1981     862100.05
1982     861275.01
1983     827932.98
1984     812291.99
1985     813803.03
1986     848231.99
1987     867969.01
1988     892993.03
1989     880458.99
1990     905674.99
1991     830019.02
1992     809114.00
1993     798446.97
1994     769602.97
1995     765221.03
1996     796012.98
1997     812172.98
1998     785033.95
1999     770744.01
2000     766999.00
2001     734474.99
2002     719250.00
2003     706720.99
2004     705622.02
2005     685795.02
2006     672723.99
2007     684861.98
2008     682514.00
2009     665125.99
2010     677947.00
2011     662685.01
2012     673543.97
2013     682068.99
2014     714927.02
2015     737574.99
2016     792131.00
2017     784884.00
