West Germany, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        ASFR
1956     12-    0.00000
1956     13     0.00005
1956     14     0.00022
1956     15     0.00118
1956     16     0.00509
1956     17     0.01665
1956     18     0.03841
1956     19     0.06527
1956     20     0.08996
1956     21     0.11240
1956     22     0.13087
1956     23     0.14211
1956     24     0.14669
1956     25     0.14644
1956     26     0.14285
1956     27     0.13788
1956     28     0.13134
1956     29     0.12261
1956     30     0.11083
1956     31     0.10157
1956     32     0.09315
1956     33     0.08213
1956     34     0.07214
1956     35     0.06238
1956     36     0.05395
1956     37     0.04582
1956     38     0.03765
1956     39     0.03085
1956     40     0.02371
1956     41     0.01759
1956     42     0.01234
1956     43     0.00810
1956     44     0.00488
1956     45     0.00264
1956     46     0.00123
1956     47     0.00051
1956     48     0.00023
1956     49     0.00003
1956     50     0.00000
1956     51     0.00000
1956     52     0.00000
1956     53     0.00000
1956     54     0.00000
1956     55+    0.00000
1957     12-    0.00000
1957     13     0.00002
1957     14     0.00034
1957     15     0.00123
1957     16     0.00583
1957     17     0.01855
1957     18     0.03961
1957     19     0.06691
1957     20     0.09332
1957     21     0.11650
1957     22     0.13654
1957     23     0.14948
1957     24     0.15637
1957     25     0.15741
1957     26     0.15201
1957     27     0.14418
1957     28     0.13627
1957     29     0.12674
1957     30     0.11578
1957     31     0.10333
1957     32     0.09378
1957     33     0.08505
1957     34     0.07461
1957     35     0.06484
1957     36     0.05457
1957     37     0.04630
1957     38     0.03873
1957     39     0.03086
1957     40     0.02401
1957     41     0.01724
1957     42     0.01209
1957     43     0.00802
1957     44     0.00462
1957     45     0.00268
1957     46     0.00130
1957     47     0.00053
1957     48     0.00023
1957     49     0.00003
1957     50     0.00000
1957     51     0.00000
1957     52     0.00000
1957     53     0.00000
1957     54     0.00000
1957     55+    0.00000
1958     12-    0.00000
1958     13     0.00004
1958     14     0.00029
1958     15     0.00133
1958     16     0.00601
1958     17     0.01843
1958     18     0.03967
1958     19     0.06510
1958     20     0.09161
1958     21     0.11660
1958     22     0.13745
1958     23     0.15171
1958     24     0.15950
1958     25     0.15954
1958     26     0.15603
1958     27     0.14794
1958     28     0.13794
1958     29     0.12785
1958     30     0.11623
1958     31     0.10553
1958     32     0.09332
1958     33     0.08320
1958     34     0.07465
1958     35     0.06456
1958     36     0.05458
1958     37     0.04502
1958     38     0.03751
1958     39     0.03046
1958     40     0.02296
1958     41     0.01700
1958     42     0.01148
1958     43     0.00719
1958     44     0.00436
1958     45     0.00240
1958     46     0.00112
1958     47     0.00047
1958     48     0.00018
1958     49     0.00006
1958     50     0.00002
1958     51     0.00001
1958     52     0.00001
1958     53     0.00000
1958     54     0.00000
1958     55+    0.00000
1959     12-    0.00000
1959     13     0.00002
1959     14     0.00044
1959     15     0.00150
1959     16     0.00667
1959     17     0.02125
1959     18     0.04360
1959     19     0.07051
1959     20     0.09632
1959     21     0.12116
1959     22     0.14204
1959     23     0.15602
1959     24     0.16438
1959     25     0.16686
1959     26     0.16283
1959     27     0.15431
1959     28     0.14306
1959     29     0.13042
1959     30     0.11866
1959     31     0.10738
1959     32     0.09550
1959     33     0.08353
1959     34     0.07387
1959     35     0.06576
1959     36     0.05675
1959     37     0.04764
1959     38     0.03826
1959     39     0.03057
1959     40     0.02428
1959     41     0.01726
1959     42     0.01170
1959     43     0.00719
1959     44     0.00425
1959     45     0.00240
1959     46     0.00106
1959     47     0.00046
1959     48     0.00022
1959     49     0.00007
1959     50     0.00002
1959     51     0.00001
1959     52     0.00001
1959     53     0.00000
1959     54     0.00000
1959     55+    0.00000
1960     12-    0.00001
1960     13     0.00011
1960     14     0.00040
1960     15     0.00212
1960     16     0.00813
1960     17     0.02226
1960     18     0.04581
1960     19     0.07289
1960     20     0.09799
1960     21     0.12027
1960     22     0.14107
1960     23     0.15585
1960     24     0.16471
1960     25     0.16724
1960     26     0.16310
1960     27     0.15448
1960     28     0.14431
1960     29     0.13145
1960     30     0.11925
1960     31     0.10765
1960     32     0.09499
1960     33     0.08348
1960     34     0.07238
1960     35     0.06363
1960     36     0.05580
1960     37     0.04696
1960     38     0.03846
1960     39     0.02973
1960     40     0.02328
1960     41     0.01759
1960     42     0.01141
1960     43     0.00730
1960     44     0.00409
1960     45     0.00219
1960     46     0.00108
1960     47     0.00046
1960     48     0.00017
1960     49     0.00005
1960     50     0.00002
1960     51     0.00001
1960     52     0.00001
1960     53     0.00000
1960     54     0.00000
1960     55+    0.00000
1961     12-    0.00001
1961     13     0.00010
1961     14     0.00045
1961     15     0.00236
1961     16     0.01071
1961     17     0.02620
1961     18     0.04942
1961     19     0.07855
1961     20     0.10567
1961     21     0.12886
1961     22     0.14779
1961     23     0.16164
1961     24     0.16872
1961     25     0.17032
1961     26     0.16746
1961     27     0.16044
1961     28     0.14874
1961     29     0.13556
1961     30     0.12108
1961     31     0.10804
1961     32     0.09589
1961     33     0.08450
1961     34     0.07376
1961     35     0.06356
1961     36     0.05519
1961     37     0.04703
1961     38     0.03878
1961     39     0.03065
1961     40     0.02304
1961     41     0.01702
1961     42     0.01182
1961     43     0.00707
1961     44     0.00415
1961     45     0.00213
1961     46     0.00094
1961     47     0.00042
1961     48     0.00017
1961     49     0.00006
1961     50     0.00002
1961     51     0.00001
1961     52     0.00001
1961     53     0.00000
1961     54     0.00000
1961     55+    0.00000
1962     12-    0.00000
1962     13     0.00008
1962     14     0.00046
1962     15     0.00254
1962     16     0.01068
1962     17     0.02996
1962     18     0.05274
1962     19     0.08032
1962     20     0.10689
1962     21     0.13084
1962     22     0.15214
1962     23     0.16477
1962     24     0.17029
1962     25     0.17073
1962     26     0.16610
1962     27     0.15757
1962     28     0.14747
1962     29     0.13436
1962     30     0.12097
1962     31     0.10615
1962     32     0.09349
1962     33     0.08240
1962     34     0.07161
1962     35     0.06173
1962     36     0.05274
1962     37     0.04470
1962     38     0.03690
1962     39     0.02943
1962     40     0.02245
1962     41     0.01627
1962     42     0.01165
1962     43     0.00746
1962     44     0.00406
1962     45     0.00207
1962     46     0.00088
1962     47     0.00035
1962     48     0.00014
1962     49     0.00004
1962     50     0.00001
1962     51     0.00001
1962     52     0.00000
1962     53     0.00000
1962     54     0.00000
1962     55+    0.00000
1963     12-    0.00000
1963     13     0.00008
1963     14     0.00044
1963     15     0.00243
1963     16     0.01155
1963     17     0.03256
1963     18     0.06186
1963     19     0.08699
1963     20     0.11098
1963     21     0.13558
1963     22     0.15572
1963     23     0.16856
1963     24     0.17526
1963     25     0.17610
1963     26     0.17080
1963     27     0.16097
1963     28     0.14961
1963     29     0.13835
1963     30     0.12459
1963     31     0.11052
1963     32     0.09630
1963     33     0.08387
1963     34     0.07285
1963     35     0.06294
1963     36     0.05377
1963     37     0.04483
1963     38     0.03699
1963     39     0.02992
1963     40     0.02323
1963     41     0.01668
1963     42     0.01088
1963     43     0.00716
1963     44     0.00445
1963     45     0.00211
