West Germany, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
2009     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009     13     0.00003     0.00003     0.00000     0.00000     0.00000     0.00000
2009     14     0.00027     0.00026     0.00000     0.00000     0.00000     0.00000
2009     15     0.00105     0.00103     0.00002     0.00000     0.00000     0.00000
2009     16     0.00315     0.00308     0.00007     0.00000     0.00000     0.00000
2009     17     0.00627     0.00594     0.00031     0.00002     0.00001     0.00000
2009     18     0.01141     0.01032     0.00100     0.00007     0.00001     0.00000
2009     19     0.01885     0.01628     0.00234     0.00021     0.00001     0.00000
2009     20     0.02589     0.02071     0.00455     0.00057     0.00005     0.00000
2009     21     0.03223     0.02376     0.00721     0.00110     0.00013     0.00003
2009     22     0.03865     0.02650     0.00991     0.00189     0.00028     0.00006
2009     23     0.04587     0.02950     0.01285     0.00284     0.00056     0.00013
2009     24     0.05455     0.03359     0.01602     0.00387     0.00087     0.00022
2009     25     0.06373     0.03801     0.01927     0.00491     0.00119     0.00034
2009     26     0.07270     0.04161     0.02287     0.00619     0.00147     0.00055
2009     27     0.08122     0.04467     0.02652     0.00745     0.00182     0.00076
2009     28     0.08875     0.04727     0.02969     0.00855     0.00224     0.00100
2009     29     0.09478     0.04889     0.03239     0.00970     0.00264     0.00116
2009     30     0.09846     0.04886     0.03463     0.01071     0.00293     0.00132
2009     31     0.09797     0.04597     0.03596     0.01137     0.00314     0.00153
2009     32     0.09415     0.04133     0.03601     0.01185     0.00336     0.00159
2009     33     0.08831     0.03592     0.03488     0.01214     0.00366     0.00170
2009     34     0.07951     0.03012     0.03191     0.01201     0.00360     0.00187
2009     35     0.06908     0.02481     0.02749     0.01158     0.00333     0.00187
2009     36     0.05770     0.01977     0.02273     0.01028     0.00311     0.00180
2009     37     0.04581     0.01517     0.01796     0.00834     0.00266     0.00167
2009     38     0.03524     0.01119     0.01358     0.00676     0.00225     0.00146
2009     39     0.02616     0.00816     0.00976     0.00514     0.00187     0.00124
