West Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1956   12-       .    0.00000
1956   13     1943    0.00003
1956   13     1942    0.00006
1956   14     1942    0.00009
1956   14     1941    0.00033
1956   15     1941    0.00059
1956   15     1940    0.00172
1956   16     1940    0.00282
1956   16     1939    0.00737
1956   17     1939    0.01118
1956   17     1938    0.02247
1956   18     1938    0.03004
1956   18     1937    0.04726
1956   19     1937    0.05661
1956   19     1936    0.07391
1956   20     1936    0.08234
1956   20     1935    0.09769
1956   21     1935    0.10511
1956   21     1934    0.12004
1956   22     1934    0.12630
1956   22     1933    0.13647
1956   23     1933    0.14010
1956   23     1932    0.14406
1956   24     1932    0.14555
1956   24     1931    0.14779
1956   25     1931    0.14772
1956   25     1930    0.14527
1956   26     1930    0.14406
1956   26     1929    0.14162
1956   27     1929    0.13994
1956   27     1928    0.13588
1956   28     1928    0.13365
1956   28     1927    0.12899
1956   29     1927    0.12606
1956   29     1926    0.11933
1956   30     1926    0.11550
1956   30     1925    0.10646
1956   31     1925    0.10340
1956   31     1924    0.09971
1956   32     1924    0.09678
1956   32     1923    0.08956
1956   33     1923    0.08598
1956   33     1922    0.07850
1956   34     1922    0.07520
1956   34     1921    0.06926
1956   35     1921    0.06598
1956   35     1920    0.05888
1956   36     1920    0.05601
1956   36     1919    0.05127
1956   37     1919    0.04841
1956   37     1918    0.04202
1956   38     1918    0.03958
1956   38     1917    0.03564
1956   39     1917    0.03336
1956   39     1916    0.02860
1956   40     1916    0.02629
1956   40     1915    0.02178
1956   41     1915    0.01971
1956   41     1914    0.01593
1956   42     1914    0.01409
1956   42     1913    0.01062
1956   43     1913    0.00925
1956   43     1912    0.00699
1956   44     1912    0.00586
1956   44     1911    0.00385
1956   45     1911    0.00316
1956   45     1910    0.00215
1956   46     1910    0.00163
1956   46     1909    0.00083
1956   47     1909    0.00063
1956   47     1908    0.00039
1956   48     1908    0.00028
1956   48     1907    0.00017
1956   49     1907    0.00006
1956   49     1906    0.00000
1956   50     1906    0.00000
1956   50     1905    0.00000
1956   51     1905    0.00000
1956   51     1904    0.00000
1956   52     1904    0.00000
1956   52     1903    0.00000
1956   53     1903    0.00000
1956   53     1902    0.00000
1956   54     1902    0.00000
