West Germany, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
2009   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009   13     1996    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009   13     1995    0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
2009   14     1995    0.00015     0.00015     0.00000     0.00000     0.00000     0.00000
2009   14     1994    0.00038     0.00038     0.00000     0.00000     0.00000     0.00000
2009   15     1994    0.00057     0.00055     0.00002     0.00000     0.00000     0.00000
2009   15     1993    0.00153     0.00150     0.00003     0.00000     0.00000     0.00000
2009   16     1993    0.00226     0.00222     0.00004     0.00000     0.00000     0.00000
2009   16     1992    0.00406     0.00395     0.00011     0.00000     0.00000     0.00000
2009   17     1992    0.00516     0.00498     0.00018     0.00000     0.00000     0.00000
2009   17     1991    0.00739     0.00690     0.00045     0.00003     0.00001     0.00000
2009   18     1991    0.00891     0.00817     0.00068     0.00005     0.00001     0.00000
2009   18     1990    0.01383     0.01241     0.00132     0.00009     0.00000     0.00000
2009   19     1990    0.01646     0.01455     0.00177     0.00013     0.00001     0.00000
2009   19     1989    0.02128     0.01803     0.00292     0.00031     0.00002     0.00000
2009   20     1989    0.02372     0.01961     0.00364     0.00043     0.00003     0.00000
2009   20     1988    0.02801     0.02179     0.00543     0.00070     0.00007     0.00000
2009   21     1988    0.03016     0.02278     0.00636     0.00088     0.00010     0.00003
2009   21     1987    0.03436     0.02476     0.00808     0.00133     0.00016     0.00004
2009   22     1987    0.03648     0.02567     0.00898     0.00159     0.00020     0.00005
2009   22     1986    0.04080     0.02734     0.01084     0.00219     0.00037     0.00008
2009   23     1986    0.04319     0.02831     0.01181     0.00251     0.00047     0.00010
2009   23     1985    0.04865     0.03072     0.01392     0.00318     0.00065     0.00017
2009   24     1985    0.05150     0.03204     0.01498     0.00352     0.00076     0.00020
2009   24     1984    0.05762     0.03514     0.01706     0.00421     0.00098     0.00023
2009   25     1984    0.06069     0.03662     0.01815     0.00456     0.00109     0.00027
2009   25     1983    0.06676     0.03941     0.02040     0.00526     0.00128     0.00042
2009   26     1983    0.06978     0.04065     0.02159     0.00567     0.00138     0.00050
2009   26     1982    0.07556     0.04256     0.02413     0.00671     0.00155     0.00060
2009   27     1982    0.07843     0.04359     0.02535     0.00715     0.00167     0.00067
2009   27     1981    0.08401     0.04574     0.02769     0.00775     0.00198     0.00086
2009   28     1981    0.08657     0.04662     0.02877     0.00811     0.00212     0.00094
2009   28     1980    0.09094     0.04791     0.03061     0.00898     0.00237     0.00107
2009   29     1980    0.09298     0.04846     0.03153     0.00937     0.00250     0.00112
2009   29     1979    0.09667     0.04934     0.03330     0.01004     0.00278     0.00121
2009   30     1979    0.09790     0.04931     0.03406     0.01038     0.00289     0.00126
2009   30     1978    0.09903     0.04840     0.03523     0.01105     0.00297     0.00139
2009   31     1978    0.09891     0.04744     0.03569     0.01129     0.00304     0.00145
2009   31     1977    0.09701     0.04445     0.03625     0.01146     0.00324     0.00161
2009   32     1977    0.09577     0.04292     0.03628     0.01162     0.00332     0.00164
2009   32     1976    0.09249     0.03971     0.03575     0.01209     0.00339     0.00155
2009   33     1976    0.09051     0.03788     0.03537     0.01220     0.00349     0.00159
2009   33     1975    0.08598     0.03384     0.03437     0.01209     0.00385     0.00183
2009   34     1975    0.08303     0.03193     0.03334     0.01205     0.00382     0.00189
2009   34     1974    0.07593     0.02828     0.03046     0.01197     0.00336     0.00186
2009   35     1974    0.07246     0.02650     0.02900     0.01182     0.00329     0.00186
2009   35     1973    0.06559     0.02308     0.02594     0.01134     0.00337     0.00187
2009   36     1973    0.06176     0.02139     0.02434     0.01089     0.00328     0.00185
2009   36     1972    0.05375     0.01819     0.02117     0.00969     0.00295     0.00176
2009   37     1972    0.04978     0.01665     0.01956     0.00905     0.00280     0.00171
2009   37     1971    0.04194     0.01373     0.01640     0.00766     0.00253     0.00162
2009   38     1971    0.03843     0.01241     0.01493     0.00714     0.00239     0.00155
2009   38     1970    0.03200     0.00996     0.01220     0.00637     0.00211     0.00136
2009   39     1970    0.02897     0.00898     0.01093     0.00579     0.00198     0.00129
2009   39     1969    0.02339     0.00735     0.00861     0.00449     0.00175     0.00119
2009   40     1969    0.02070     0.00650     0.00751     0.00397     0.00159     0.00113
2009   40     1968    0.01585     0.00496     0.00553     0.00310     0.00123     0.00103
2009   41     1968    0.01353     0.00418     0.00468     0.00267     0.00108     0.00092
2009   41     1967    0.00942     0.00278     0.00327     0.00190     0.00083     0.00064
2009   42     1967    0.00788     0.00232     0.00269     0.00158     0.00071     0.00058
2009   42     1966    0.00546     0.00162     0.00178     0.00104     0.00052     0.00050
2009   43     1966    0.00450     0.00133     0.00140     0.00087     0.00045     0.00046
2009   43     1965    0.00303     0.00085     0.00081     0.00061     0.00035     0.00041
2009   44     1965    0.00241     0.00068     0.00063     0.00049     0.00027     0.00034
2009   44     1964    0.00148     0.00045     0.00038     0.00030     0.00013     0.00021
2009   45     1964    0.00114     0.00035     0.00029     0.00023     0.00010     0.00016
2009   45     1963    0.00067     0.00020     0.00016     0.00013     0.00007     0.00010
2009   46     1963    0.00051     0.00016     0.00012     0.00010     0.00005     0.00008
2009   46     1962    0.00030     0.00010     0.00007     0.00005     0.00003     0.00005
2009   47     1962    0.00024     0.00009     0.00006     0.00004     0.00002     0.00003
2009   47     1961    0.00018     0.00007     0.00005     0.00003     0.00002     0.00001
2009   48     1961    0.00015     0.00006     0.00004     0.00003     0.00002     0.00001
2009   48     1960    0.00009     0.00003     0.00002     0.00002     0.00001     0.00001
2009   49     1960    0.00008     0.00003     0.00002     0.00001     0.00001     0.00001
2009   49     1959    0.00006     0.00002     0.00001     0.00001     0.00001     0.00001
2009   50     1959    0.00005     0.00002     0.00001     0.00001     0.00000     0.00001
2009   50     1958    0.00004     0.00002     0.00001     0.00000     0.00000     0.00001
2009   51     1958    0.00003     0.00002     0.00001     0.00000     0.00000     0.00001
2009   51     1957    0.00002     0.00001     0.00001     0.00000     0.00000     0.00000
2009   52     1957    0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
2009   52     1956    0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
2009   53     1956    0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
2009   53     1955    0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
2009   54     1955    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009   54     1954    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009   55+       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010   13     1997    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010   13     1996    0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
2010   14     1996    0.00015     0.00015     0.00000     0.00000     0.00000     0.00000
2010   14     1995    0.00040     0.00040     0.00000     0.00000     0.00000     0.00000
2010   15     1995    0.00059     0.00059     0.00000     0.00000     0.00000     0.00000
2010   15     1994    0.00146     0.00145     0.00001     0.00000     0.00000     0.00000
2010   16     1994    0.00211     0.00204     0.00008     0.00000     0.00000     0.00000
2010   16     1993    0.00383     0.00371     0.00012     0.00000     0.00000     0.00000
2010   17     1993    0.00492     0.00476     0.00015     0.00001     0.00000     0.00000
2010   17     1992    0.00733     0.00686     0.00044     0.00002     0.00000     0.00000
2010   18     1992    0.00890     0.00819     0.00067     0.00003     0.00000     0.00000
2010   18     1991    0.01357     0.01209     0.00139     0.00008     0.00001     0.00000
2010   19     1991    0.01601     0.01401     0.00186     0.00012     0.00001     0.00001
2010   19     1990    0.02030     0.01723     0.00274     0.00028     0.00004     0.00001
2010   20     1990    0.02250     0.01871     0.00332     0.00041     0.00006     0.00001
2010   20     1989    0.02666     0.02086     0.00501     0.00067     0.00010     0.00001
2010   21     1989    0.02882     0.02188     0.00595     0.00084     0.00013     0.00002
2010   21     1988    0.03340     0.02394     0.00791     0.00132     0.00021     0.00002
2010   22     1988    0.03563     0.02486     0.00889     0.00160     0.00026     0.00003
2010   22     1987    0.03987     0.02659     0.01065     0.00218     0.00041     0.00005
2010   23     1987    0.04222     0.02761     0.01156     0.00250     0.00048     0.00006
2010   23     1986    0.04745     0.03014     0.01343     0.00318     0.00057     0.00013
2010   24     1986    0.05036     0.03153     0.01444     0.00356     0.00065     0.00017
2010   24     1985    0.05716     0.03471     0.01671     0.00448     0.00101     0.00024
2010   25     1985    0.06042     0.03625     0.01785     0.00487     0.00116     0.00029
2010   25     1984    0.06648     0.03930     0.02020     0.00535     0.00125     0.00039
2010   26     1984    0.06958     0.04071     0.02143     0.00565     0.00133     0.00045
2010   26     1983    0.07559     0.04300     0.02400     0.00640     0.00156     0.00063
2010   27     1983    0.07867     0.04420     0.02528     0.00680     0.00167     0.00071
2010   27     1982    0.08488     0.04658     0.02781     0.00776     0.00196     0.00078
2010   28     1982    0.08776     0.04763     0.02901     0.00820     0.00209     0.00083
2010   28     1981    0.09291     0.04937     0.03116     0.00901     0.00237     0.00100
2010   29     1981    0.09517     0.04999     0.03217     0.00943     0.00249     0.00109
2010   29     1980    0.09872     0.05061     0.03389     0.01026     0.00266     0.00130
2010   30     1980    0.10019     0.05066     0.03471     0.01066     0.00277     0.00140
2010   30     1979    0.10247     0.05030     0.03613     0.01145     0.00305     0.00154
2010   31     1979    0.10256     0.04935     0.03676     0.01172     0.00314     0.00159
2010   31     1978    0.10038     0.04593     0.03780     0.01184     0.00322     0.00160
2010   32     1978    0.09922     0.04433     0.03794     0.01203     0.00327     0.00166
2010   32     1977    0.09653     0.04117     0.03737     0.01265     0.00340     0.00194
2010   33     1977    0.09438     0.03929     0.03689     0.01278     0.00344     0.00198
2010   33     1976    0.08854     0.03510     0.03549     0.01269     0.00345     0.00181
2010   34     1976    0.08578     0.03322     0.03455     0.01270     0.00350     0.00181
2010   34     1975    0.08046     0.02977     0.03227     0.01275     0.00373     0.00193
2010   35     1975    0.07705     0.02791     0.03083     0.01260     0.00374     0.00197
2010   35     1974    0.06924     0.02411     0.02748     0.01205     0.00356     0.00204
