West Germany, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort        ASFR
1956     12-    1944+     0.00000
1956     13     1943      0.00002
1956     14     1942      0.00008
1956     15     1941      0.00046
1956     16     1940      0.00227
1956     17     1939      0.00927
1956     18     1938      0.02626
1956     19     1937      0.05194
1956     20     1936      0.07813
1956     21     1935      0.10140
1956     22     1934      0.12316
1956     23     1933      0.13828
1956     24     1932      0.14481
1956     25     1931      0.14776
1956     26     1930      0.14467
1956     27     1929      0.14079
1956     28     1928      0.13477
1956     29     1927      0.12752
1956     30     1926      0.11742
1956     31     1925      0.10493
1956     32     1924      0.09825
1956     33     1923      0.08777
1956     34     1922      0.07685
1956     35     1921      0.06763
1956     36     1920      0.05745
1956     37     1919      0.04984
1956     38     1918      0.04081
1956     39     1917      0.03451
1956     40     1916      0.02745
1956     41     1915      0.02075
1956     42     1914      0.01501
1956     43     1913      0.00993
1956     44     1912      0.00643
1956     45     1911      0.00351
1956     46     1910      0.00189
1956     47     1909      0.00073
1956     48     1908      0.00034
1956     49     1907      0.00011
1956     50     1906      0.00000
1956     51     1905      0.00000
1956     52     1904      0.00000
1956     53     1903      0.00000
1956     54     1902      0.00000
1956     55+    1901-     0.00000
1957     12-    1945+     0.00000
1957     13     1944      0.00000
1957     14     1943      0.00015
1957     15     1942      0.00049
1957     16     1941      0.00239
1957     17     1940      0.01076
1957     18     1939      0.02783
1957     19     1938      0.05312
1957     20     1937      0.08128
1957     21     1936      0.10466
1957     22     1935      0.12795
1957     23     1934      0.14408
1957     24     1933      0.15438
1957     25     1932      0.15735
1957     26     1931      0.15646
1957     27     1930      0.14748
1957     28     1929      0.14087
1957     29     1928      0.13154
1957     30     1927      0.12170
1957     31     1926      0.10988
1957     32     1925      0.09753
1957     33     1924      0.09007
1957     34     1923      0.07986
1957     35     1922      0.06962
1957     36     1921      0.06014
1957     37     1920      0.04943
1957     38     1919      0.04264
1957     39     1918      0.03380
1957     40     1917      0.02782
1957     41     1916      0.02053
1957     42     1915      0.01468
1957     43     1914      0.01001
1957     44     1913      0.00619
1957     45     1912      0.00334
1957     46     1911      0.00201
1957     47     1910      0.00076
1957     48     1909      0.00034
1957     49     1908      0.00011
1957     50     1907      0.00000
1957     51     1906      0.00000
1957     52     1905      0.00000
1957     53     1904      0.00000
1957     54     1903      0.00000
1957     55+    1902-     0.00000
1958     12-    1946+     0.00000
1958     13     1945      0.00000
1958     14     1944      0.00011
1958     15     1943      0.00054
1958     16     1942      0.00267
1958     17     1941      0.01023
1958     18     1940      0.02799
1958     19     1939      0.05197
1958     20     1938      0.07897
1958     21     1937      0.10448
1958     22     1936      0.12825
1958     23     1935      0.14575
1958     24     1934      0.15678
1958     25     1933      0.16128
1958     26     1932      0.15720
1958     27     1931      0.15415
1958     28     1930      0.14178
1958     29     1929      0.13398
1958     30     1928      0.12160
1958     31     1927      0.11088
1958     32     1926      0.10011
1958     33     1925      0.08715
1958     34     1924      0.07936
1958     35     1923      0.06975
1958     36     1922      0.05954
1958     37     1921      0.04984
1958     38     1920      0.04056
1958     39     1919      0.03390
1958     40     1918      0.02608
1958     41     1917      0.01989
1958     42     1916      0.01435
1958     43     1915      0.00927
1958     44     1914      0.00563
1958     45     1913      0.00325
1958     46     1912      0.00166
1958     47     1911      0.00069
1958     48     1910      0.00030
1958     49     1909      0.00010
1958     50     1908      0.00003
1958     51     1907      0.00002
1958     52     1906      0.00001
1958     53     1905      0.00001
1958     54     1904      0.00000
1958     55+    1903-     0.00000
1959     12-    1947+     0.00000
1959     13     1946      0.00000
1959     14     1945      0.00017
1959     15     1944      0.00064
1959     16     1943      0.00295
1959     17     1942      0.01221
1959     18     1941      0.03049
1959     19     1940      0.05687
1959     20     1939      0.08389
1959     21     1938      0.10894
1959     22     1937      0.13337
1959     23     1936      0.14961
1959     24     1935      0.16162
1959     25     1934      0.16622
1959     26     1933      0.16651
1959     27     1932      0.15849
1959     28     1931      0.14975
1959     29     1930      0.13653
1959     30     1929      0.12441
1959     31     1928      0.11304
1959     32     1927      0.10157
1959     33     1926      0.08962
1959     34     1925      0.07806
1959     35     1924      0.06985
1959     36     1923      0.06156
1959     37     1922      0.05210
1959     38     1921      0.04326
1959     39     1920      0.03363
1959     40     1919      0.02712
1959     41     1918      0.02058
1959     42     1917      0.01408
1959     43     1916      0.00958
1959     44     1915      0.00550
1959     45     1914      0.00330
1959     46     1913      0.00162
1959     47     1912      0.00066
1959     48     1911      0.00031
1959     49     1910      0.00014
1959     50     1909      0.00002
1959     51     1908      0.00001
1959     52     1907      0.00001
1959     53     1906      0.00000
1959     54     1905      0.00000
1959     55+    1904-     0.00000
1960     12-    1948+     0.00000
1960     13     1947      0.00004
1960     14     1946      0.00018
1960     15     1945      0.00080
1960     16     1944      0.00391
1960     17     1943      0.01381
1960     18     1942      0.03225
1960     19     1941      0.05858
1960     20     1940      0.08615
1960     21     1939      0.10926
1960     22     1938      0.13152
1960     23     1937      0.15014
1960     24     1936      0.16060
1960     25     1935      0.16788
1960     26     1934      0.16543
1960     27     1933      0.15971
1960     28     1932      0.14903
1960     29     1931      0.13924
1960     30     1930      0.12421
1960     31     1929      0.11429
1960     32     1928      0.10100
1960     33     1927      0.08908
1960     34     1926      0.07812
1960     35     1925      0.06725
1960     36     1924      0.06006
1960     37     1923      0.05143
1960     38     1922      0.04266
1960     39     1921      0.03435
1960     40     1920      0.02559
1960     41     1919      0.02054
1960     42     1918      0.01389
1960     43     1917      0.00912
1960     44     1916      0.00571
1960     45     1915      0.00298
1960     46     1914      0.00160
1960     47     1913      0.00067
1960     48     1912      0.00028
1960     49     1911      0.00008
1960     50     1910      0.00002
1960     51     1909      0.00001
1960     52     1908      0.00001
1960     53     1907      0.00000
1960     54     1906      0.00000
1960     55+    1905-     0.00000
1961     12-    1949+     0.00000
1961     13     1948      0.00003
1961     14     1947      0.00020
1961     15     1946      0.00088
1961     16     1945      0.00502
1961     17     1944      0.01675
1961     18     1943      0.03671
1961     19     1942      0.06305
1961     20     1941      0.09191
1961     21     1940      0.11781
1961     22     1939      0.13891
1961     23     1938      0.15594
1961     24     1937      0.16633
1961     25     1936      0.17017
1961     26     1935      0.16971
1961     27     1934      0.16437
1961     28     1933      0.15520
1961     29     1932      0.14204
1961     30     1931      0.12895
1961     31     1930      0.11374
1961     32     1929      0.10235
1961     33     1928      0.08958
1961     34     1927      0.07935
1961     35     1926      0.06838
1961     36     1925      0.05912
1961     37     1924      0.05120
1961     38     1923      0.04283
1961     39     1922      0.03481
1961     40     1921      0.02670
1961     41     1920      0.01962
1961     42     1919      0.01406
1961     43     1918      0.00908
1961     44     1917      0.00529
1961     45     1916      0.00316
1961     46     1915      0.00142
1961     47     1914      0.00063
1961     48     1913      0.00026
1961     49     1912      0.00010
1961     50     1911      0.00003
1961     51     1910      0.00002
1961     52     1909      0.00001
1961     53     1908      0.00001
1961     54     1907      0.00000
1961     55+    1906-     0.00000
1962     12-    1950+     0.00000
1962     13     1949      0.00002
1962     14     1948      0.00017
1962     15     1947      0.00100
1962     16     1946      0.00500
1962     17     1945      0.01889
1962     18     1944      0.03966
1962     19     1943      0.06641
1962     20     1942      0.09432
1962     21     1941      0.11754
1962     22     1940      0.14325
1962     23     1939      0.15961
1962     24     1938      0.16891
1962     25     1937      0.17081
1962     26     1936      0.16980
1962     27     1935      0.16169
1962     28     1934      0.15292
1962     29     1933      0.14084
1962     30     1932      0.12779
1962     31     1931      0.11412
1962     32     1930      0.09890
1962     33     1929      0.08827
1962     34     1928      0.07669
1962     35     1927      0.06661
1962     36     1926      0.05713
1962     37     1925      0.04862
1962     38     1924      0.04079
1962     39     1923      0.03310
1962     40     1922      0.02596
1962     41     1921      0.01922
1962     42     1920      0.01358
1962     43     1919      0.00939
1962     44     1918      0.00524
1962     45     1917      0.00298
1962     46     1916      0.00136
1962     47     1915      0.00057
1962     48     1914      0.00021
1962     49     1913      0.00008
1962     50     1912      0.00002
