West Germany, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
2009     12-    1997+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009     13     1996      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009     14     1995      0.00010     0.00010     0.00000     0.00000     0.00000     0.00000
2009     15     1994      0.00048     0.00047     0.00001     0.00000     0.00000     0.00000
2009     16     1993      0.00190     0.00187     0.00003     0.00000     0.00000     0.00000
2009     17     1992      0.00462     0.00447     0.00014     0.00000     0.00000     0.00000
2009     18     1991      0.00816     0.00755     0.00057     0.00004     0.00001     0.00000
2009     19     1990      0.01514     0.01348     0.00155     0.00011     0.00001     0.00000
2009     20     1989      0.02251     0.01883     0.00328     0.00037     0.00003     0.00000
2009     21     1988      0.02909     0.02229     0.00590     0.00079     0.00009     0.00002
2009     22     1987      0.03543     0.02521     0.00853     0.00146     0.00018     0.00004
2009     23     1986      0.04199     0.02782     0.01132     0.00235     0.00042     0.00009
2009     24     1985      0.05009     0.03139     0.01446     0.00335     0.00070     0.00019
2009     25     1984      0.05916     0.03588     0.01761     0.00439     0.00103     0.00025
2009     26     1983      0.06829     0.04004     0.02100     0.00546     0.00133     0.00046
2009     27     1982      0.07700     0.04308     0.02474     0.00693     0.00161     0.00064
2009     28     1981      0.08530     0.04618     0.02824     0.00793     0.00205     0.00090
2009     29     1980      0.09196     0.04819     0.03107     0.00917     0.00244     0.00109
2009     30     1979      0.09728     0.04933     0.03368     0.01021     0.00283     0.00123
2009     31     1978      0.09897     0.04791     0.03546     0.01117     0.00301     0.00142
2009     32     1977      0.09638     0.04368     0.03626     0.01154     0.00328     0.00162
2009     33     1976      0.09149     0.03878     0.03555     0.01215     0.00344     0.00157
2009     34     1975      0.08448     0.03287     0.03384     0.01207     0.00384     0.00186
2009     35     1974      0.07417     0.02737     0.02972     0.01190     0.00333     0.00186
2009     36     1973      0.06363     0.02222     0.02512     0.01111     0.00333     0.00186
2009     37     1972      0.05170     0.01740     0.02034     0.00936     0.00287     0.00173
2009     38     1971      0.04013     0.01305     0.01565     0.00739     0.00246     0.00159
2009     39     1970      0.03045     0.00946     0.01155     0.00607     0.00205     0.00133
2009     40     1969      0.02199     0.00691     0.00804     0.00422     0.00167     0.00116
2009     41     1968      0.01465     0.00456     0.00509     0.00288     0.00116     0.00097
2009     42     1967      0.00863     0.00254     0.00297     0.00173     0.00077     0.00061
2009     43     1966      0.00497     0.00147     0.00159     0.00095     0.00048     0.00048
2009     44     1965      0.00271     0.00076     0.00072     0.00055     0.00031     0.00038
2009     45     1964      0.00131     0.00040     0.00034     0.00026     0.00012     0.00018
2009     46     1963      0.00059     0.00018     0.00014     0.00011     0.00006     0.00009
2009     47     1962      0.00027     0.00010     0.00006     0.00005     0.00003     0.00004
2009     48     1961      0.00017     0.00006     0.00004     0.00003     0.00002     0.00001
2009     49     1960      0.00008     0.00003     0.00002     0.00002     0.00001     0.00001
2009     50     1959      0.00005     0.00002     0.00001     0.00001     0.00000     0.00001
2009     51     1958      0.00003     0.00002     0.00001     0.00000     0.00000     0.00001
2009     52     1957      0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
2009     53     1956      0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
2009     54     1955      0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
2009     55+    1954-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010     12-    1998+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010     13     1997      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010     14     1996      0.00011     0.00011     0.00000     0.00000     0.00000     0.00000
2010     15     1995      0.00049     0.00049     0.00000     0.00000     0.00000     0.00000
2010     16     1994      0.00179     0.00175     0.00004     0.00000     0.00000     0.00000
2010     17     1993      0.00439     0.00424     0.00014     0.00001     0.00000     0.00000
2010     18     1992      0.00812     0.00754     0.00056     0.00003     0.00000     0.00000
2010     19     1991      0.01481     0.01306     0.00163     0.00010     0.00001     0.00001
2010     20     1990      0.02140     0.01797     0.00303     0.00034     0.00005     0.00001
2010     21     1989      0.02775     0.02138     0.00548     0.00075     0.00012     0.00002
2010     22     1988      0.03452     0.02440     0.00840     0.00146     0.00023     0.00002
2010     23     1987      0.04105     0.02710     0.01111     0.00234     0.00045     0.00005
2010     24     1986      0.04890     0.03083     0.01394     0.00337     0.00061     0.00015
2010     25     1985      0.05881     0.03549     0.01729     0.00468     0.00109     0.00026
2010     26     1984      0.06803     0.04001     0.02082     0.00550     0.00129     0.00042
2010     27     1983      0.07715     0.04361     0.02465     0.00660     0.00162     0.00067
2010     28     1982      0.08633     0.04711     0.02841     0.00798     0.00202     0.00080
2010     29     1981      0.09405     0.04968     0.03167     0.00922     0.00243     0.00105
2010     30     1980      0.09946     0.05063     0.03430     0.01046     0.00271     0.00135
2010     31     1979      0.10252     0.04982     0.03644     0.01159     0.00310     0.00156
2010     32     1978      0.09979     0.04511     0.03787     0.01193     0.00325     0.00163
2010     33     1977      0.09544     0.04022     0.03713     0.01272     0.00342     0.00196
2010     34     1976      0.08714     0.03415     0.03501     0.01269     0.00347     0.00181
2010     35     1975      0.07872     0.02882     0.03154     0.01267     0.00374     0.00195
2010     36     1974      0.06720     0.02317     0.02665     0.01182     0.00352     0.00204
2010     37     1973      0.05505     0.01795     0.02184     0.01011     0.00326     0.00189
2010     38     1972      0.04283     0.01364     0.01663     0.00820     0.00266     0.00170
2010     39     1971      0.03263     0.01005     0.01259     0.00643     0.00221     0.00136
2010     40     1970      0.02380     0.00725     0.00862     0.00491     0.00186     0.00117
2010     41     1969      0.01557     0.00493     0.00544     0.00304     0.00126     0.00091
2010     42     1968      0.00933     0.00279     0.00317     0.00187     0.00077     0.00072
2010     43     1967      0.00523     0.00158     0.00170     0.00104     0.00051     0.00041
2010     44     1966      0.00272     0.00074     0.00085     0.00053     0.00029     0.00031
2010     45     1965      0.00151     0.00044     0.00046     0.00028     0.00014     0.00019
2010     46     1964      0.00067     0.00017     0.00020     0.00015     0.00007     0.00008
2010     47     1963      0.00032     0.00010     0.00008     0.00006     0.00003     0.00006
2010     48     1962      0.00013     0.00005     0.00004     0.00001     0.00001     0.00001
2010     49     1961      0.00008     0.00003     0.00002     0.00001     0.00000     0.00002
2010     50     1960      0.00006     0.00002     0.00002     0.00001     0.00000     0.00000
2010     51     1959      0.00005     0.00001     0.00002     0.00001     0.00000     0.00001
2010     52     1958      0.00003     0.00001     0.00001     0.00000     0.00000     0.00001
2010     53     1957      0.00002     0.00001     0.00001     0.00000     0.00000     0.00000
2010     54     1956      0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
2010     55+    1955-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2011     12-    1999+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2011     13     1998      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2011     14     1997      0.00009     0.00009     0.00000     0.00000     0.00000     0.00000
2011     15     1996      0.00056     0.00055     0.00001     0.00000     0.00000     0.00000
2011     16     1995      0.00166     0.00164     0.00002     0.00000     0.00000     0.00000
2011     17     1994      0.00398     0.00386     0.00012     0.00000     0.00000     0.00000
2011     18     1993      0.00742     0.00688     0.00051     0.00002     0.00000     0.00000
2011     19     1992      0.01391     0.01239     0.00141     0.00010     0.00001     0.00000
2011     20     1991      0.01966     0.01656     0.00271     0.00035     0.00003     0.00001
2011     21     1990      0.02620     0.02046     0.00505     0.00060     0.00007     0.00002
2011     22     1989      0.03162     0.02284     0.00740     0.00115     0.00018     0.00004
2011     23     1988      0.03798     0.02547     0.01008     0.00198     0.00038     0.00007
2011     24     1987      0.04599     0.02933     0.01289     0.00289     0.00068     0.00020
2011     25     1986      0.05524     0.03405     0.01615     0.00393     0.00088     0.00023
2011     26     1985      0.06522     0.03877     0.01943     0.00537     0.00121     0.00044
