West Germany, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Total
1956     12-        1.64
1956     13        18.18
1956     14        91.56
1956     15       557.46
1956     16      2503.40
1956     17      7932.27
1956     18     17311.29
1956     19     28684.10
1956     20     39280.14
1956     21     47448.40
1956     22     48818.81
1956     23     48152.75
1956     24     51071.45
1956     25     53985.09
1956     26     54481.22
1956     27     52866.92
1956     28     50371.04
1956     29     47589.36
1956     30     45469.78
1956     31     42464.47
1956     32     38635.99
1956     33     35128.29
1956     34     32576.56
1956     35     29286.99
1956     36     22586.96
1956     37     13969.80
1956     38      9089.71
1956     39      7689.99
1956     40      7255.87
1956     41      6994.87
1956     42      5543.26
1956     43      3706.88
1956     44      2206.82
1956     45      1191.46
1956     46       569.20
1956     47       238.68
1956     48       103.09
1956     49        13.29
1956     50         0.00
1956     51         0.00
1956     52         0.00
1956     53         0.00
1956     54         0.00
1956     55+        0.00
1957     12-        0.00
1957     13         8.31
1957     14       128.06
1957     15       505.97
1957     16      2770.40
1957     17      9182.67
1957     18     19061.52
1957     19     30440.02
1957     20     41126.15
1957     21     50624.20
1957     22     56965.24
1957     23     54974.32
1957     24     52306.32
1957     25     54173.31
1957     26     55387.51
1957     27     54424.64
1957     28     51778.56
1957     29     48225.76
1957     30     44647.50
1957     31     42150.40
1957     32     39039.31
1957     33     35139.58
1957     34     31823.24
1957     35     29218.72
1957     36     25575.16
1957     37     19373.74
1957     38     11804.02
1957     39      7443.13
1957     40      5980.84
1957     41      5266.08
1957     42      4806.79
1957     43      3604.99
1957     44      2113.26
1957     45      1211.03
1957     46       584.49
1957     47       243.99
1957     48       105.10
1957     49        13.68
1957     50         0.00
1957     51         0.00
1957     52         0.00
1957     53         0.00
1957     54         0.00
1957     55+        0.00
1958     12-        0.19
1958     13        13.38
1958     14       107.81
1958     15       502.82
1958     16      2501.53
1958     17      8851.29
1958     18     19877.64
1958     19     31673.81
1958     20     41895.44
1958     21     51323.78
1958     22     59287.22
1958     23     62737.00
1958     24     58252.58
1958     25     53025.99
1958     26     53352.83
1958     27     53611.40
1958     28     51882.57
1958     29     48443.74
1958     30     44149.83
1958     31     40666.85
1958     32     38084.19
1958     33     34676.27
1958     34     30904.61
1958     35     27600.43
1958     36     24669.48
1958     37     21165.81
1958     38     15750.47
1958     39      9318.06
1958     40      5560.15
1958     41      4252.83
1958     42      3523.83
1958     43      2872.62
1958     44      1969.49
1958     45      1102.38
1958     46       509.30
1958     47       212.63
1958     48        84.40
1958     49        26.67
1958     50        10.94
1958     51         6.32
1958     52         3.56
1958     53         1.94
1958     54         0.86
1958     55+        0.10
1959     12-        0.00
1959     13         6.53
1959     14       141.18
1959     15       565.05
1959     16      2531.40
1959     17      8895.37
1959     18     21046.22
1959     19     35505.32
1959     20     47071.63
1959     21     55623.81
1959     22     62738.01
1959     23     67488.64
1959     24     68187.58
1959     25     61128.90
1959     26     54323.07
1959     27     52939.84
1959     28     52028.90
1959     29     49195.25
1959     30     45108.11
1959     31     40908.72
1959     32     36901.41
1959     33     34190.73
1959     34     30876.60
1959     35     27302.62
1959     36     24331.97
1959     37     21589.81
1959     38     18030.52
1959     39     12864.01
1959     40      7444.30
1959     41      4189.76
1959     42      2934.49
1959     43      2213.68
1959     44      1703.09
1959     45      1084.14
1959     46       490.85
1959     47       211.06
1959     48        99.75
1959     49        31.45
1959     50         8.45
1959     51         4.87
1959     52         2.71
1959     53         1.48
1959     54         0.63
1959     55+        0.08
1960     12-        2.64
1960     13        36.90
1960     14       114.47
1960     15       690.53
1960     16      3082.50
1960     17      8482.12
1960     18     19275.85
1960     19     35392.35
1960     20     49631.18
1960     21     59059.00
1960     22     65009.87
1960     23     69044.88
1960     24     71476.01
1960     25     69536.90
1960     26     59937.18
1960     27     51680.56
1960     28     49624.27
1960     29     47906.94
1960     30     45097.87
1960     31     41007.79
1960     32     36263.78
1960     33     32329.29
1960     34     29686.09
1960     35     26646.40
1960     36     23201.08
1960     37     20159.47
1960     38     17452.89
1960     39     14030.85
1960     40      9809.88
1960     41      5400.43
1960     42      2773.94
1960     43      1831.83
1960     44      1259.96
1960     45       876.60
1960     46       490.44
1960     47       210.81
1960     48        76.81
1960     49        20.61
1960     50         7.96
1960     51         4.88
1960     52         2.84
1960     53         1.58
1960     54         0.70
1960     55+        0.09
1961     12-        2.07
1961     13        36.03
1961     14       157.93
1961     15       687.60
1961     16      3494.54
1961     17      9994.64
1961     18     18921.05
1961     19     33069.45
1961     20     51368.45
1961     21     64793.60
1961     22     71819.54
1961     23     73784.29
1961     24     74412.01
1961     25     73809.00
1961     26     70037.08
1961     27     59195.77
1961     28     50090.88
1961     29     46806.73
1961     30     44679.57
1961     31     41164.94
1961     32     36895.23
1961     33     32585.82
1961     34     28873.20
1961     35     26355.82
1961     36     23206.29
1961     37     19712.17
1961     38     16776.37
1961     39     14010.76
1961     40     10976.51
1961     41      7193.93
1961     42      3649.84
1961     43      1723.20
1961     44      1046.61
1961     45       658.24
1961     46       379.36
1961     47       190.89
1961     48        78.47
1961     49        26.54
1961     50         9.99
1961     51         6.10
1961     52         3.57
1961     53         1.98
1961     54         0.87
1961     55+        0.11
1962     12-        1.26
1962     13        28.88
1962     14       165.21
1962     15       886.06
1962     16      3117.61
1962     17      9828.28
1962     18     20194.14
1962     19     30721.72
1962     20     45000.24
1962     21     63051.00
1962     22     75745.56
1962     23     79380.66
1962     24     77405.18
1962     25     75243.48
1962     26     72426.92
1962     27     66189.06
1962     28     54808.01
1962     29     45480.16
1962     30     42341.75
1962     31     39493.25
1962     32     35995.02
1962     33     32025.07
1962     34     27912.79
1962     35     24435.78
1962     36     21955.10
1962     37     18937.27
1962     38     15577.43
1962     39     12819.96
1962     40     10353.14
1962     41      7765.05
1962     42      4939.05
1962     43      2303.97
1962     44       990.56
1962     45       523.16
1962     46       273.78
1962     47       141.46
1962     48        64.46
1962     49        18.61
1962     50         5.17
1962     51         3.17
1962     52         1.93
1962     53         1.11
1962     54         0.49
1962     55+        0.06
1963     12-        1.44
1963     13        32.15
1963     14       167.61
1963     15       864.94
1963     16      4047.79
1963     17      9547.44
1963     18     20443.30
1963     19     33562.25
1963     20     42811.03
1963     21     57458.82
1963     22     75446.70
1963     23     84337.59
1963     24     84800.48
1963     25     80411.23
1963     26     75631.46
1963     27     70505.89
1963     28     63143.42
1963     29     51662.40
1963     30     42378.01
1963     31     38847.80
1963     32     35957.79
1963     33     32383.69
1963     34     28387.24
1963     35     24595.74
1963     36     21324.24
1963     37     18688.51
1963     38     15685.63
1963     39     12637.65
1963     40     10122.60
1963     41      7688.55
1963     42      5190.56
1963     43      3035.88
1963     44      1375.21
1963     45       514.59
1963     46       235.09
1963     47       117.45
1963     48        56.75
1963     49        15.94
1963     50         3.60
1963     51         2.19
1963     52         1.27
1963     53         0.73
1963     54         0.32
1963     55+        0.04
1964     12-        3.77
1964     13        45.92
1964     14       164.68
1964     15       921.78
1964     16      4125.24
1964     17     12185.54
1964     18     19576.24
1964     19     32133.91
1964     20     45286.44
1964     21     53186.13
1964     22     66634.17
1964     23     82320.11
1964     24     88276.87
1964     25     85661.94
1964     26     78765.98
1964     27     71905.66
1964     28     65755.47
1964     29     58301.92
1964     30     46954.02
1964     31     38071.75
1964     32     34729.38
1964     33     31927.68
1964     34     28429.58
1964     35     24664.39
1964     36     21118.87
1964     37     18004.74
1964     38     15265.66
1964     39     12422.49
1964     40      9719.40
1964     41      7304.39
1964     42      5312.08
1964     43      3379.13
1964     44      1769.07
1964     45       703.21
1964     46       247.23
1964     47        92.87
1964     48        45.20
1964     49        15.99
1964     50         3.58
1964     51         2.21
1964     52         1.27
1964     53         0.70
1964     54         0.31
1964     55+        0.04
1965     12-        2.83
1965     13        36.47
1965     14       153.97
1965     15       956.23
1965     16      4471.42
1965     17     12392.62
1965     18     24486.24
1965     19     30179.22
1965     20     41848.80
1965     21     55217.90
1965     22     60319.90
1965     23     70092.61
1965     24     83183.66
1965     25     86692.14
1965     26     81716.47
1965     27     73006.66
1965     28     65183.20
1965     29     58852.23
1965     30     51382.02
1965     31     40714.63
1965     32     32791.92
1965     33     29453.75
1965     34     26723.57
1965     35     23772.22
1965     36     20353.08
1965     37     17008.53
1965     38     14135.87
1965     39     11819.69
1965     40      9411.56
1965     41      6840.57
1965     42      4740.79
1965     43      3146.59
1965     44      1868.58
1965     45       924.00
1965     46       308.30
1965     47        88.10
1965     48        35.41
1965     49         9.26
1965     50         2.83
1965     51         2.00
1965     52         1.18
1965     53         0.65
1965     54         0.28
1965     55+        0.03
1966     12-        1.68
1966     13        26.07
1966     14       146.59
1966     15       993.60
1966     16      4803.35
1966     17     13976.01
1966     18     25905.65
1966     19     39326.05
1966     20     40833.26
1966     21     51100.00
1966     22     63238.24
1966     23     65360.73
1966     24     73317.99
1966     25     83772.28
1966     26     84311.11
1966     27     77556.82
1966     28     67834.20
1966     29     59653.02
1966     30     52910.90
1966     31     45348.83
1966     32     35847.63
1966     33     28568.01
1966     34     25167.28
1966     35     22894.98
1966     36     20094.16
1966     37     16761.76
1966     38     13706.68
1966     39     10891.62
1966     40      8654.66
1966     41      6553.89
1966     42      4529.88
1966     43      2938.82
1966     44      1821.41
1966     45       942.02
1966     46       386.96
1966     47       122.42
1966     48        33.30
1966     49         7.55
1966     50         2.03
1966     51         1.59
1966     52         1.07
1966     53         0.60
1966     54         0.26
1966     55+        0.03
1967     12-        2.45
1967     13        32.08
1967     14       147.09
1967     15       935.58
1967     16      4632.50
1967     17     14160.08
1967     18     28137.56
1967     19     40078.27
1967     20     50400.65
1967     21     47671.71
1967     22     55604.69
1967     23     65036.82
1967     24     64952.40
1967     25     70427.60
1967     26     78197.29
1967     27     76838.97
1967     28     69357.73
1967     29     59675.67
1967     30     51705.78
1967     31     45100.69
1967     32     38415.66
1967     33     30332.09
1967     34     23981.83
1967     35     21234.65
1967     36     18794.95
1967     37     15999.31
1967     38     13135.58
1967     39     10429.79
1967     40      8038.24
1967     41      5920.54
1967     42      4159.17
1967     43      2727.16
1967     44      1681.03
1967     45       899.52
1967     46       405.33
1967     47       155.78
1967     48        42.93
1967     49         6.72
1967     50         1.12
1967     51         0.82
1967     52         0.60
1967     53         0.38
1967     54         0.17
1967     55+        0.02
1968     12-        2.00
1968     13        37.74
1968     14       176.87
1968     15       977.35
1968     16      4738.42
1968     17     14420.11
1968     18     28553.30
1968     19     42494.18
1968     20     50062.96
1968     21     56104.71
1968     22     48708.38
1968     23     53491.08
1968     24     61269.88
1968     25     60389.99
1968     26     64216.87
1968     27     69740.45
1968     28     67568.66
1968     29     59967.93
1968     30     50671.51
1968     31     43412.83
1968     32     37441.41
1968     33     31831.49
1968     34     25242.20
1968     35     19939.27
1968     36     17371.41
1968     37     15125.83
1968     38     12710.90
1968     39     10155.65
1968     40      7765.09
1968     41      5646.83
1968     42      3986.30
1968     43      2609.90
1968     44      1547.14
1968     45       816.00
1968     46       389.78
1968     47       165.73
1968     48        54.31
1968     49        12.01
1968     50         3.23
1968     51         2.05
1968     52         1.48
1968     53         1.11
1968     54         0.57
1968     55+        0.07
1969     12-        3.82
1969     13        42.42
1969     14       168.34
1969     15      1045.45
1969     16      5143.29
1969     17     15221.98
1969     18     29063.27
1969     19     42237.99
1969     20     50916.80
1969     21     52502.00
1969     22     54048.27
1969     23     44535.78
1969     24     48378.06
1969     25     55535.56
1969     26     53537.09
1969     27     55527.27
1969     28     59590.73
1969     29     57130.49
1969     30     50196.54
1969     31     42164.74
1969     32     36015.99
1969     33     31094.10
1969     34     26337.63
1969     35     20653.05
1969     36     16010.41
1969     37     13786.05
1969     38     11814.76
1969     39      9441.59
1969     40      7250.87
1969     41      5332.18
1969     42      3625.20
1969     43      2385.90
1969     44      1414.58
1969     45       730.39
1969     46       342.02
1969     47       145.09
1969     48        58.94
1969     49        18.21
1969     50         4.36
1969     51         2.07
1969     52         1.26
1969     53         0.87
1969     54         0.50
1969     55+        0.07
1970     12-        2.74
1970     13        45.03
1970     14       216.95
1970     15      1261.32
1970     16      5694.10
1970     17     15623.61
1970     18     28368.40
1970     19     39804.90
1970     20     46763.83
1970     21     50410.09
1970     22     49093.25
1970     23     48539.09
1970     24     39358.58
1970     25     42397.68
1970     26     47435.10
1970     27     44916.90
1970     28     46028.98
1970     29     48441.62
1970     30     45674.65
1970     31     39478.83
1970     32     32682.54
1970     33     27718.99
1970     34     24024.89
1970     35     20347.55
1970     36     15903.28
1970     37     12375.10
1970     38     10292.95
1970     39      8444.52
1970     40      6692.20
1970     41      4916.20
1970     42      3338.80
1970     43      2058.33
1970     44      1207.50
1970     45       677.25
1970     46       333.41
1970     47       147.73
1970     48        58.07
1970     49        19.18
1970     50         7.53
1970     51         3.38
1970     52         1.52
1970     53         0.88
1970     54         0.47
1970     55+        0.07
1971     12-        3.43
1971     13        55.99
1971     14       258.13
1971     15      1463.39
1971     16      6436.20
1971     17     16542.65
1971     18     28121.48
1971     19     37405.46
1971     20     44189.07
1971     21     49481.58
1971     22     51409.44
1971     23     48499.74
1971     24     47571.98
1971     25     38544.06
1971     26     40066.08
1971     27     43578.06
1971     28     40452.21
1971     29     40221.19
1971     30     41238.81
1971     31     37689.18
1971     32     32320.94
1971     33     26845.95
1971     34     22553.26
1971     35     19377.81
1971     36     16204.88
1971     37     12428.31
1971     38      9481.07
1971     39      7706.46
1971     40      6215.81
1971     41      4689.17
1971     42      3220.67
1971     43      2022.84
1971     44      1131.13
1971     45       609.53
1971     46       287.51
1971     47       120.36
1971     48        48.12
1971     49        18.00
1971     50         8.22
1971     51         4.57
1971     52         1.96
1971     53         0.85
1971     54         0.39
1971     55+        0.05
1972     12-        2.44
1972     13        50.26
1972     14       286.47
1972     15      1584.24
1972     16      6387.98
1972     17     15534.53
1972     18     24905.35
1972     19     32792.44
1972     20     38379.20
1972     21     43290.62
1972     22     47287.75
1972     23     48122.70
1972     24     45002.28
1972     25     42944.80
1972     26     33955.13
1972     27     34858.36
1972     28     37199.27
1972     29     33705.03
1972     30     32417.24
1972     31     32494.33
1972     32     29672.38
1972     33     25109.39
1972     34     20430.40
1972     35     17014.36
1972     36     14467.92
1972     37     11842.67
1972     38      8995.04
1972     39      6758.58
1972     40      5291.85
1972     41      3946.75
1972     42      2783.14
1972     43      1728.00
1972     44       979.15
1972     45       526.62
1972     46       265.25
1972     47       114.40
1972     48        52.22
1972     49        20.82
1972     50         7.02
1972     51         4.21
1972     52         2.17
1972     53         0.88
1972     54         0.29
1972     55+        0.04
1973     12-        3.34
1973     13        58.18
1973     14       297.07
1973     15      1570.52
1973     16      5840.27
1973     17     13488.67
1973     18     21596.58
1973     19     28254.85
1973     20     33646.24
1973     21     38095.18
1973     22     42550.30
1973     23     45475.97
1973     24     45209.72
1973     25     41695.42
1973     26     38912.46
1973     27     30011.32
1973     28     29826.98
1973     29     31025.45
1973     30     27507.86
1973     31     25802.32
1973     32     25211.38
1973     33     22675.41
1973     34     19219.66
1973     35     15629.70
1973     36     12903.06
1973     37     10590.27
1973     38      8566.97
1973     39      6423.38
1973     40      4535.90
1973     41      3345.63
1973     42      2392.30
1973     43      1572.55
1973     44       874.15
1973     45       438.33
1973     46       215.42
1973     47        94.78
1973     48        41.15
1973     49        17.70
1973     50         7.42
1973     51         4.58
1973     52         2.70
1973     53         1.36
1973     54         0.45
1973     55+        0.04
1974     12-        1.04
1974     13        31.95
1974     14       244.72
1974     15      1416.20
1974     16      5508.30
1974     17     12787.72
1974     18     20442.75
1974     19     27124.07
1974     20     32604.63
1974     21     37622.83
1974     22     41682.07
1974     23     45538.04
1974     24     47458.89
1974     25     46043.81
1974     26     41034.74
1974     27     37291.40
1974     28     28042.14
1974     29     26941.14
1974     30     27257.36
1974     31     23553.52
1974     32     21513.50
1974     33     20897.22
1974     34     18428.60
1974     35     15039.77
1974     36     12007.75
1974     37      9636.76
1974     38      7751.06
1974     39      6124.49
1974     40      4388.47
1974     41      2950.17
1974     42      2079.03
1974     43      1367.41
1974     44       779.62
1974     45       417.96
1974     46       201.05
1974     47        89.58
1974     48        37.55
1974     49        14.68
1974     50         8.92
1974     51         5.67
1974     52         3.49
1974     53         2.00
1974     54         0.81
1974     55+        0.09
1975     12-        1.78
1975     13        38.02
1975     14       224.52
1975     15      1266.93
1975     16      4697.31
1975     17     10778.55
1975     18     18251.46
1975     19     24992.07
1975     20     30177.17
1975     21     35088.93
1975     22     39962.46
1975     23     42845.70
1975     24     45675.02
1975     25     46850.95
1975     26     43965.83
1975     27     38029.70
1975     28     33582.93
1975     29     24923.26
1975     30     23667.16
1975     31     23017.91
1975     32     19579.19
1975     33     17750.10
1975     34     16683.81
1975     35     14387.99
1975     36     11558.66
1975     37      8849.99
1975     38      6992.46
1975     39      5510.31
1975     40      4075.79
1975     41      2797.89
1975     42      1796.57
1975     43      1133.17
1975     44       677.47
1975     45       366.23
1975     46       171.23
1975     47        76.02
1975     48        34.13
1975     49        16.02
1975     50         7.75
1975     51         4.54
1975     52         2.66
1975     53         1.55
1975     54         0.72
1975     55+        0.09
1976     12-        1.38
1976     13        36.56
1976     14       212.50
1976     15      1142.30
1976     16      4395.75
1976     17     10112.46
1976     18     17392.08
1976     19     24819.85
1976     20     30372.37
1976     21     35125.10
1976     22     39445.03
1976     23     43403.79
1976     24     45361.42
1976     25     46604.24
1976     26     46286.19
1976     27     42241.53
1976     28     35827.35
1976     29     31029.06
1976     30     22190.93
1976     31     20431.76
1976     32     19752.70
1976     33     16470.08
1976     34     14478.77
1976     35     13322.23
1976     36     11178.51
1976     37      8844.64
1976     38      6848.61
1976     39      5103.27
1976     40      3760.75
1976     41      2672.71
1976     42      1694.69
1976     43      1047.87
1976     44       621.91
1976     45       324.28
1976     46       160.80
1976     47        68.22
1976     48        34.62
1976     49        17.43
1976     50         7.83
1976     51         4.62
1976     52         2.58
1976     53         1.45
1976     54         0.67
1976     55+        0.09
1977     12-        1.80
1977     13        31.64
1977     14       170.34
1977     15       977.43
1977     16      3912.73
1977     17      9416.48
1977     18     16270.26
1977     19     23093.04
1977     20     28873.63
1977     21     33822.30
1977     22     37543.01
1977     23     40959.61
1977     24     43877.74
1977     25     44789.96
1977     26     44818.32
1977     27     42866.97
1977     28     38441.94
1977     29     31720.47
1977     30     26513.37
1977     31     18639.85
1977     32     16618.28
1977     33     15741.55
1977     34     13127.37
1977     35     11178.96
1977     36     10054.99
1977     37      8379.07
1977     38      6374.21
1977     39      4678.61
1977     40      3368.99
1977     41      2352.00
1977     42      1601.60
1977     43       990.57
1977     44       548.80
1977     45       289.50
1977     46       155.19
1977     47        77.21
1977     48        30.32
1977     49        14.93
1977     50         9.07
1977     51         5.78
1977     52         3.37
1977     53         1.82
1977     54         0.81
1977     55+        0.10
1978     12-        1.70
1978     13        22.52
1978     14       141.12
1978     15       909.77
1978     16      3408.46
1978     17      8727.41
1978     18     15932.91
1978     19     22516.71
1978     20     27700.70
1978     21     32746.39
1978     22     37253.12
1978     23     40509.00
1978     24     42885.78
1978     25     44679.28
1978     26     44026.74
1978     27     42294.39
1978     28     39790.65
1978     29     34941.81
1978     30     27844.61
1978     31     22517.60
1978     32     15686.09
1978     33     13812.52
1978     34     12727.56
1978     35     10290.02
1978     36      8586.70
1978     37      7559.62
1978     38      6077.02
1978     39      4467.48
1978     40      3053.07
1978     41      2073.38
1978     42      1438.85
1978     43       870.28
1978     44       485.09
1978     45       263.71
1978     46       129.35
1978     47        55.58
1978     48        20.22
1978     49         8.23
1978     50         5.12
1978     51         3.34
1978     52         2.15
1978     53         1.28
1978     54         0.58
1978     55+        0.07
