West Germany, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Total          B1          B2          B3          B4         B5p
2009     12-        0.13        0.13        0.00        0.00        0.00        0.00
2009     13        10.42       10.42        0.00        0.00        0.00        0.00
2009     14        87.68       87.07        0.61        0.00        0.00        0.00
2009     15       358.15      349.94        8.21        0.00        0.00        0.00
2009     16      1101.88     1076.65       24.95        0.13        0.15        0.00
2009     17      2222.89     2103.80      110.93        6.31        1.86        0.00
2009     18      4211.89     3812.12      370.74       27.12        1.90        0.00
2009     19      6970.05     6019.78      865.88       79.50        4.89        0.00
2009     20      9666.05     7734.24     1697.84      212.91       20.27        0.78
2009     21     12145.34     8952.53     2716.60      414.16       49.30       12.76
2009     22     14479.26     9929.50     3713.31      707.15      106.59       22.70
2009     23     16822.47    10818.10     4711.09     1041.01      204.15       48.14
2009     24     20025.19    12328.28     5878.84     1419.25      318.36       80.45
2009     25     23513.14    14025.36     7111.48     1811.71      437.49      127.10
2009     26     27804.20    15916.40     8747.08     2369.26      561.18      210.27
2009     27     31683.06    17422.73    10345.94     2906.05      710.50      297.85
2009     28     34965.21    18621.97    11697.33     3366.50      884.38      395.03
2009     29     36459.92    18806.79    12460.30     3729.99     1015.28      447.56
2009     30     36584.34    18156.62    12869.39     3980.27     1087.47      490.59
2009     31     36565.21    17156.32    13422.46     4243.54     1172.57      570.32
2009     32     35004.64    15366.99    13389.83     4407.25     1247.96      592.60
2009     33     32479.95    13210.53    12828.86     4466.58     1347.01      626.98
2009     34     29389.19    11131.88    11795.73     4440.86     1329.01      691.71
2009     35     25927.94     9313.50    10317.39     4347.97     1249.03      700.05
2009     36     22628.16     7753.92     8915.00     4031.08     1220.96      707.20
2009     37     19714.82     6529.86     7730.58     3590.30     1146.22      717.86
2009     38     16189.22     5141.81     6237.38     3105.64     1034.64      669.76
2009     39     12655.76     3945.54     4722.40     2483.96      902.37      601.48
2009     40      9543.51     2992.72     3404.93     1844.92      736.18      564.75
2009     41      6254.67     1898.51     2166.50     1243.78      519.75      426.15
2009     42      3706.88     1094.32     1244.35      728.10      342.30      297.79
2009     43      2111.60      610.40      622.34      413.13      222.55      243.19
2009     44      1097.49      320.37      285.90      222.63      113.54      155.05
2009     45       513.61      158.54      129.49      102.82       49.49       73.27
2009     46       226.19       74.16       53.03       41.67       23.14       34.19
2009     47       115.15       42.18       27.83       20.09       11.73       13.31
2009     48        63.82       22.92       15.95       11.82        8.07        5.08
2009     49        33.54       12.62        7.12        5.14        4.16        4.49
2009     50        21.23        9.79        4.26        2.41        0.55        4.21
2009     51        13.37        6.78        2.91        1.51        0.00        2.16
2009     52         7.52        4.02        1.80        0.86        0.00        0.85
2009     53         3.65        2.00        0.98        0.42        0.00        0.25
2009     54         1.43        0.78        0.41        0.17        0.00        0.07
2009     55+        0.18        0.10        0.05        0.02        0.00        0.01
2010     12-        0.12        0.12        0.00        0.00        0.00        0.00
2010     13        10.75       10.75        0.00        0.00        0.00        0.00
2010     14        90.11       90.11        0.00        0.00        0.00        0.00
2010     15       339.45      337.33        2.12        0.00        0.00        0.00
2010     16      1013.63      979.88       33.33        0.42        0.00        0.00
2010     17      2140.82     2031.48      102.66        6.54        0.14        0.00
2010     18      3995.88     3607.40      367.09       18.56        2.54        0.29
2010     19      6774.98     5827.90      859.91       74.96        9.49        2.71
2010     20      9181.14     7393.01     1554.79      199.85       29.93        3.57
2010     21     11745.76     8647.27     2617.70      408.46       64.82        7.51
2010     22     14351.71     9781.97     3713.31      716.24      126.79       13.40
2010     23     16945.53    10914.00     4723.87     1073.39      198.71       35.56
2010     24     19847.01    12231.36     5749.68     1484.09      306.04       75.83
2010     25     23433.47    13951.56     7026.22     1886.58      445.03      124.09
2010     26     26909.50    15518.10     8421.71     2233.99      535.03      200.67
2010     27     31392.72    17423.10    10191.22     2795.71      696.99      285.69
2010     28     35320.98    18962.06    11762.80     3366.03      871.80      358.30
2010     29     38245.01    19843.77    13029.40     3884.49     1015.01      472.34
2010     30     39023.40    19446.13    13636.89     4256.54     1119.25      564.58
2010     31     37744.67    17727.68    13861.31     4379.76     1183.09      592.85
2010     32     36581.71    15983.78    14071.50     4608.10     1247.38      670.94
2010     33     34041.26    13847.84    13467.35     4739.04     1281.76      705.27
2010     34     30624.15    11612.93    12310.94     4682.22     1329.81      688.24
2010     35     27069.09     9625.85    10790.34     4560.03     1351.07      741.81
2010     36     23004.01     7713.97     9127.50     4138.62     1281.51      742.40
2010     37     19146.21     6168.57     7518.61     3588.59     1163.08      707.37
2010     38     16177.58     5067.18     6274.14     3138.27     1043.23      654.76
2010     39     12965.02     3958.81     4863.00     2620.45      940.97      581.79
2010     40      9469.52     2941.33     3365.08     1903.72      755.83      503.56
2010     41      6425.63     1987.80     2218.98     1267.38      522.72      428.75
2010     42      3892.81     1170.75     1298.31      778.93      345.97      298.84
2010     43      2143.94      618.05      683.91      424.27      219.47      198.25
2010     44      1162.54      326.68      357.08      221.15      116.71      140.93
2010     45       589.97      161.75      176.84      121.18       57.44       72.74
2010     46       269.97       73.55       73.97       56.91       26.14       39.41
2010     47       117.55       38.41       33.75       15.87       11.88       17.64
2010     48        55.94       21.06       15.32        4.62        4.42       10.53
2010     49        37.34       15.01        9.34        4.52        2.06        6.40
2010     50        27.37        9.69        8.98        4.36        1.20        3.14
2010     51        19.24        5.92        6.09        2.73        0.37        4.14
2010     52        10.56        3.42        3.48        1.46        0.18        2.01
2010     53         4.92        1.83        1.74        0.69        0.09        0.57
2010     54         1.82        0.75        0.67        0.25        0.03        0.12
2010     55+        0.21        0.09        0.08        0.03        0.00        0.01
2011     12-        0.09        0.08        0.00        0.02        0.00        0.00
2011     13         8.62        8.16        0.00        0.47        0.00        0.00
2011     14        96.17       95.15        0.49        0.52        0.00        0.00
2011     15       344.00      338.38        5.62        0.00        0.00        0.00
2011     16       893.95      874.95       18.67        0.33        0.00        0.00
2011     17      1902.11     1802.88       95.82        3.42        0.00        0.00
2011     18      3667.12     3326.94      320.92       18.58        0.53        0.14
2011     19      6046.12     5238.61      723.33       73.45        8.94        1.79
2011     20      8638.10     7002.08     1434.73      179.02       18.69        3.59
2011     21     10946.41     8216.36     2355.40      319.66       45.39        9.59
2011     22     13244.96     9199.66     3331.24      590.58      104.33       19.16
2011     23     16094.72    10504.20     4409.05      932.97      201.04       47.46
2011     24     19302.83    12086.75     5537.07     1295.46      299.14       84.40
2011     25     22440.88    13582.29     6626.29     1727.91      384.76      119.63
2011     26     25910.70    15159.37     7873.64     2153.04      529.33      195.32
2011     27     29419.92    16653.00     9339.85     2497.18      662.37      267.51
2011     28     33973.81    18489.14    11274.59     3065.49      787.01      357.58
2011     29     37286.60    19660.98    12721.67     3561.13      916.37      426.46
2011     30     39481.56    19965.33    13805.62     4116.13     1089.38      505.10
2011     31     39049.41    18576.20    14225.00     4501.13     1180.51      566.57
2011     32     36277.31    15908.56    14053.10     4536.73     1178.81      600.11
2011     33     34080.79    13794.59    13760.34     4613.46     1255.73      656.66
2011     34     31117.11    11899.04    12667.50     4568.89     1292.05      689.64
2011     35     27229.81     9789.07    11039.65     4406.86     1273.42      720.81
2011     36     23069.88     7767.04     9257.70     4091.63     1229.33      724.17
2011     37     18674.29     5954.32     7428.77     3472.65     1143.40      675.16
2011     38     14999.47     4673.97     5811.16     2898.88     1005.89      609.58
2011     39     12384.22     3853.69     4705.00     2408.95      854.45      562.13
2011     40      9319.56     2850.44     3447.98     1807.61      711.15      502.38
2011     41      6134.24     1820.30     2174.66     1229.65      539.85      369.77
2011     42      3835.02     1116.29     1321.40      769.34      364.31      263.68
2011     43      2199.00      623.01      732.09      444.34      207.00      192.56
2011     44      1160.94      320.73      344.20      254.57      117.58      123.87
2011     45       568.72      161.23      143.84      123.57       66.76       73.31
2011     46       249.58       77.28       66.46       44.11       29.49       32.24
2011     47       120.14       39.21       31.44       18.70       12.35       18.43
2011     48        70.38       23.00       20.04       10.90        5.68       10.77
2011     49        43.37       15.78       11.82        5.84        3.99        5.94
2011     50        32.19       13.51        6.22        3.15        3.45        5.87
2011     51        24.31       11.01        6.13        1.94        2.12        3.10
2011     52        13.41        6.38        3.88        1.05        0.96        1.14
2011     53         5.85        2.87        1.84        0.49        0.34        0.31
2011     54         2.09        1.04        0.70        0.18        0.10        0.07
2011     55+        0.24        0.12        0.08        0.02        0.01        0.01
2012     12-        0.10        0.10        0.00        0.00        0.00        0.00
2012     13         9.16        9.16        0.00        0.00        0.00        0.00
2012     14        91.85       91.70        0.14        0.00        0.00        0.00
2012     15       343.04      337.96        4.93        0.17        0.00        0.00
2012     16       916.04      889.01       25.73        1.29        0.00        0.00
2012     17      1878.70     1772.92      100.32        5.46        0.00        0.00
2012     18      3466.94     3122.01      319.05       25.49        0.39        0.00
2012     19      5904.54     5057.54      763.25       76.33        7.41        0.00
2012     20      8281.16     6604.11     1462.99      193.87       19.82        0.39
2012     21     10793.28     7991.38     2377.20      363.22       54.75        6.72
2012     22     13079.61     9074.49     3270.74      613.66      104.68       16.04
2012     23     15938.28    10384.52     4381.77      960.86      177.46       33.67
2012     24     19264.25    12059.09     5533.17     1316.54      289.31       66.14
2012     25     23021.94    13891.18     6854.06     1717.24      434.07      125.39
2012     26     26295.51    15323.28     8124.62     2106.73      557.71      183.17
2012     27     29827.34    16849.88     9514.10     2548.23      655.25      259.87
2012     28     33078.36    18019.28    10911.13     3049.12      771.02      327.82
2012     29     37332.42    19765.41    12667.43     3566.17      926.71      406.70
2012     30     40420.43    20507.68    14214.59     4114.41     1086.50      497.26
2012     31     40881.85    19523.40    14995.35     4554.69     1236.93      571.46
2012     32     38691.24    17124.63    14958.36     4727.80     1264.40      616.06
2012     33     35139.35    14259.05    14256.61     4721.62     1255.08      647.00
2012     34     32130.72    12160.31    13301.16     4657.11     1314.06      698.07
2012     35     28330.79    10135.23    11724.11     4431.59     1338.79      701.07
