West Germany, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age    Cohort           Total
1956    12-        .            1.64
1956    13      1943            6.36
1956    13      1942           11.82
1956    14      1942           16.19
1956    14      1941           75.37
1956    15      1941          133.69
1956    15      1940          423.77
1956    16      1940          695.53
1956    16      1939         1807.87
1956    17      1939         2741.33
1956    17      1938         5190.94
1956    18      1938         6960.27
1956    18      1937        10351.02
1956    19      1937        12427.99
1956    19      1936        16256.11
1956    20      1936        18126.97
1956    20      1935        21153.17
1956    21      1935        22717.41
1956    21      1934        24730.99
1956    22      1934        25944.39
1956    22      1933        22874.42
1956    23      1933        23402.80
1956    23      1932        24749.95
1956    24      1932        24896.16
1956    24      1931        26175.29
1956    25      1931        26029.50
1956    25      1930        27955.59
1956    26      1930        27573.08
1956    26      1929        26908.14
1956    27      1929        26454.95
1956    27      1928        26411.97
1956    28      1928        25857.83
1956    28      1927        24513.21
1956    29      1927        23838.56
1956    29      1926        23750.80
1956    30      1926        22892.52
1956    30      1925        22577.26
1956    31      1925        21815.47
1956    31      1924        20649.00
1956    32      1924        19944.72
1956    32      1923        18691.27
1956    33      1923        17854.38
1956    33      1922        17273.91
1956    34      1922        16472.00
1956    34      1921        16104.56
1956    35      1921        15275.73
1956    35      1920        14011.26
1956    36      1920        13266.95
1956    36      1919         9320.01
1956    37      1919         8770.77
1956    37      1918         5199.03
1956    38      1918         4874.63
1956    38      1917         4215.08
1956    39      1917         3927.07
1956    39      1916         3762.92
1956    40      1916         3443.98
1956    40      1915         3811.89
1956    41      1915         3430.03
1956    41      1914         3564.84
1956    42      1914         3137.93
1956    42      1913         2405.33
1956    43      1913         2082.85
1956    43      1912         1624.03
1956    44      1912         1354.76
1956    44      1911          852.06
1956    45      1911          695.35
1956    45      1910          496.11
1956    46      1910          375.12
1956    46      1909          194.08
1956    47      1909          148.01
1956    47      1908           90.67
1956    48      1908           65.37
1956    48      1907           37.72
1956    49      1907           13.29
1956    49      1906            0.00
1956    50      1906            0.00
1956    50      1905            0.00
1956    51      1905            0.00
1956    51      1904            0.00
1956    52      1904            0.00
1956    52      1903            0.00
1956    53      1903            0.00
1956    53      1902            0.00
1956    54      1902            0.00
1956    54      1901            0.00
1956    55+        .            0.00
1957    12-        .            0.00
1957    13      1944            0.00
1957    13      1943            8.31
1957    14      1943           49.70
1957    14      1942           78.36
1957    15      1942          102.66
1957    15      1941          403.31
1957    16      1941          684.83
1957    16      1940         2085.57
1957    17      1940         3256.14
1957    17      1939         5926.53
1957    18      1939         7845.31
1957    18      1938        11216.21
1957    19      1938        13596.10
1957    19      1937        16843.92
1957    20      1937        18924.85
1957    20      1936        22201.30
1957    21      1936        23697.82
1957    21      1935        26926.38
1957    22      1935        27822.93
1957    22      1934        29142.31
1957    23      1934        29374.50
1957    23      1933        25599.82
1957    24      1933        25421.98
1957    24      1932        26884.34
1957    25      1932        26459.78
1957    25      1931        27713.53
1957    26      1931        26920.76
1957    26      1930        28466.75
1957    27      1930        27550.72
1957    27      1929        26873.92
1957    28      1929        26030.14
1957    28      1928        25748.42
1957    29      1928        24875.33
1957    29      1927        23350.43
1957    30      1927        22477.68
1957    30      1926        22169.82
1957    31      1926        21247.97
1957    31      1925        20902.43
1957    32      1925        20176.05
1957    32      1924        18863.26
1957    33      1924        18208.68
1957    33      1923        16930.90
1957    34      1923        16222.52
1957    34      1922        15600.72
1957    35      1922        14903.35
1957    35      1921        14315.37
1957    36      1921        13547.35
1957    36      1920        12027.81
1957    37      1920        11405.32
1957    37      1919         7968.42
1957    38      1919         7500.64
1957    38      1918         4303.38
1957    39      1918         4032.73
1957    39      1917         3410.40
1957    40      1917         3150.48
1957    40      1916         2830.36
1957    41      1916         2561.36
1957    41      1915         2704.72
1957    42      1915         2417.96
1957    42      1914         2388.83
1957    43      1914         2083.77
1957    43      1913         1521.22
1957    44      1913         1274.15
1957    44      1912          839.11
1957    45      1912          711.10
1957    45      1911          499.93
1957    46      1911          387.19
1957    46      1910          197.30
1957    47      1910          151.75
1957    47      1909           92.24
1957    48      1909           66.78
1957    48      1908           38.32
1957    49      1908           13.68
1957    49      1907            0.00
1957    50      1907            0.00
1957    50      1906            0.00
1957    51      1906            0.00
1957    51      1905            0.00
1957    52      1905            0.00
1957    52      1904            0.00
1957    53      1904            0.00
1957    53      1903            0.00
1957    54      1903            0.00
1957    54      1902            0.00
1957    55+        .            0.00
1958    12-        .            0.19
1958    13      1945            0.81
1958    13      1944           12.57
1958    14      1944           28.44
1958    14      1943           79.37
1958    15      1943          126.65
1958    15      1942          376.17
1958    16      1942          619.95
