West Germany, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 04/02/2019
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
2009    12-        .            0.13           0.13           0.00           0.00           0.00           0.00
2009    13      1996            0.56           0.56           0.00           0.00           0.00           0.00
2009    13      1995            9.86           9.86           0.00           0.00           0.00           0.00
2009    14      1995           24.45          24.45           0.00           0.00           0.00           0.00
2009    14      1994           63.23          62.62           0.61           0.00           0.00           0.00
2009    15      1994           96.77          93.38           3.39           0.00           0.00           0.00
2009    15      1993          261.38         256.56           4.82           0.00           0.00           0.00
2009    16      1993          397.62         391.44           6.18           0.00           0.00           0.00
2009    16      1992          704.26         685.21          18.77           0.13           0.15           0.00
2009    17      1992          916.74         883.79          31.23           0.87           0.85           0.00
2009    17      1991         1306.15        1220.01          79.70           5.44           1.01           0.00
2009    18      1991         1620.85        1486.99         123.30           9.56           0.99           0.00
2009    18      1990         2591.04        2325.13         247.44          17.56           0.91           0.00
2009    19      1990         3068.96        2713.87         330.56          23.44           1.09           0.00
2009    19      1989         3901.09        3305.91         535.32          56.06           3.80           0.00
2009    20      1989         4378.91        3620.09         672.68          79.94           6.20           0.00
2009    20      1988         5287.14        4114.15        1025.16         132.97          14.07           0.78
2009    21      1988         5765.86        4355.85        1216.84         168.03          19.93           5.22
2009    21      1987         6379.48        4596.68        1499.76         246.13          29.37           7.54
2009    22      1987         6823.52        4800.32        1680.24         296.87          37.63           8.46
2009    22      1986         7655.74        5129.18        2033.07         410.28          68.96          14.24
2009    23      1986         8063.26        5285.82        2203.93         468.72          87.04          17.76
2009    23      1985         8759.21        5532.28        2507.16         572.29         117.11          30.38
2009    24      1985         9465.79        5888.72        2752.84         647.71         138.89          37.62
2009    24      1984        10559.40        6439.56        3126.00         771.54         179.47          42.83
2009    25      1984        11174.60        6742.44        3342.00         840.46         200.53          49.17
2009    25      1983        12338.54        7282.92        3769.48         971.25         236.96          77.93
2009    26      1983        13212.46        7697.08        4087.52        1072.75         261.04          94.07
2009    26      1982        14591.74        8219.32        4659.56        1296.51         300.14         116.20
2009    27      1982        15293.26        8499.68        4943.44        1394.49         324.86         130.80
2009    27      1981        16389.80        8923.05        5402.50        1511.56         385.64         167.05
2009    28      1981        17045.20        9179.95        5665.50        1597.44         417.36         184.95
2009    28      1980        17920.01        9442.02        6031.83        1769.06         467.02         210.08
2009    29      1980        18285.99        9530.98        6200.17        1841.94         491.98         220.92
2009    29      1979        18173.93        9275.81        6260.13        1888.05         523.30         226.64
2009    30      1979        18482.07        9310.19        6429.87        1959.95         544.70         237.36
2009    30      1978        18102.27        8846.43        6439.52        2020.32         542.77         253.23
2009    31      1978        18732.73        8984.57        6759.48        2137.68         576.23         274.77
2009    31      1977        17832.48        8171.75        6662.98        2105.86         596.34         295.55
2009    32      1977        17994.52        8064.25        6816.02        2183.14         623.66         307.45
2009    32      1976        17010.12        7302.74        6573.81        2224.11         624.30         285.15
2009    33      1976        17121.88        7165.26        6690.19        2306.89         659.70         299.85
2009    33      1975        15358.07        6045.27        6138.67        2159.69         687.31         327.13
2009    34      1975        15453.93        5942.73        6205.33        2243.31         711.69         350.87
2009    34      1974        13935.26        5189.15        5590.40        2197.55         617.32         340.84
2009    35      1974        13808.74        5049.85        5525.60        2252.45         626.68         354.16
2009    35      1973        12119.20        4263.65        4791.79        2095.52         622.35         345.89
