West Germany, Live births by birth cohort and age (horizontal parallelograms, age in completed years (ACY))
Last modified: 04/02/2019
Cohort  Age        Total
1901     12-           .
1901     13            .
1901     14            .
1901     15            .
1901     16            .
1901     17            .
1901     18            .
1901     19            .
1901     20            .
1901     21            .
1901     22            .
1901     23            .
1901     24            .
1901     25            .
1901     26            .
1901     27            .
1901     28            .
1901     29            .
1901     30            .
1901     31            .
1901     32            .
1901     33            .
1901     34            .
1901     35            .
1901     36            .
1901     37            .
1901     38            .
1901     39            .
1901     40            .
1901     41            .
1901     42            .
1901     43            .
1901     44            .
1901     45            .
1901     46            .
1901     47            .
1901     48            .
1901     49            .
1901     50            .
1901     51            .
1901     52            .
1901     53            .
1901     54            .
1901     55+        0.00
1902     12-           .
1902     13            .
1902     14            .
1902     15            .
1902     16            .
1902     17            .
1902     18            .
1902     19            .
1902     20            .
1902     21            .
1902     22            .
1902     23            .
1902     24            .
1902     25            .
1902     26            .
1902     27            .
1902     28            .
1902     29            .
1902     30            .
1902     31            .
1902     32            .
1902     33            .
1902     34            .
1902     35            .
1902     36            .
1902     37            .
1902     38            .
1902     39            .
1902     40            .
1902     41            .
1902     42            .
1902     43            .
1902     44            .
1902     45            .
1902     46            .
1902     47            .
1902     48            .
1902     49            .
1902     50            .
1902     51            .
1902     52            .
1902     53            .
1902     54         0.00
1902     55+        0.00
1903     12-           .
1903     13            .
1903     14            .
1903     15            .
1903     16            .
1903     17            .
1903     18            .
1903     19            .
1903     20            .
1903     21            .
1903     22            .
1903     23            .
1903     24            .
1903     25            .
1903     26            .
1903     27            .
1903     28            .
1903     29            .
1903     30            .
1903     31            .
1903     32            .
1903     33            .
1903     34            .
1903     35            .
1903     36            .
1903     37            .
1903     38            .
1903     39            .
1903     40            .
1903     41            .
1903     42            .
1903     43            .
1903     44            .
1903     45            .
1903     46            .
1903     47            .
1903     48            .
1903     49            .
1903     50            .
1903     51            .
1903     52            .
1903     53         0.00
1903     54         0.30
1903     55+        0.10
1904     12-           .
1904     13            .
1904     14            .
1904     15            .
1904     16            .
1904     17            .
1904     18            .
1904     19            .
1904     20            .
1904     21            .
1904     22            .
1904     23            .
1904     24            .
1904     25            .
1904     26            .
1904     27            .
1904     28            .
1904     29            .
1904     30            .
1904     31            .
1904     32            .
1904     33            .
1904     34            .
1904     35            .
1904     36            .
1904     37            .
1904     38            .
1904     39            .
1904     40            .
1904     41            .
1904     42            .
1904     43            .
1904     44            .
1904     45            .
1904     46            .
1904     47            .
1904     48            .
1904     49            .
1904     50            .
1904     51            .
1904     52         0.00
1904     53         0.77
1904     54         0.78
1904     55+        0.08
1905     12-           .
1905     13            .
1905     14            .
1905     15            .
1905     16            .
1905     17            .
1905     18            .
1905     19            .
1905     20            .
1905     21            .
1905     22            .
1905     23            .
