West Germany, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY   Cohort       Total
1956    12-   1944+        0.00
1956    13    1943         8.00
1956    14    1942        28.01
1956    15    1941       209.06
1956    16    1940      1119.30
1956    17    1939      4549.20
1956    18    1938     12151.21
1956    19    1937     22779.01
1956    20    1936     34383.08
1956    21    1935     43870.58
1956    22    1934     50675.38
1956    23    1933     46277.22
1956    24    1932     49646.11
1956    25    1931     52204.79
1956    26    1930     55528.67
1956    27    1929     53363.09
1956    28    1928     52269.80
1956    29    1927     48351.77
1956    30    1926     46643.32
1956    31    1925     44392.73
1956    32    1924     40593.72
1956    33    1923     36545.65
1956    34    1922     33745.91
1956    35    1921     31380.29
1956    36    1920     27278.21
1956    37    1919     18090.78
1956    38    1918     10073.66
1956    39    1917      8142.15
1956    40    1916      7206.90
1956    41    1915      7241.92
1956    42    1914      6702.77
1956    43    1913      4488.18
1956    44    1912      2978.79
1956    45    1911      1547.41
1956    46    1910       871.23
1956    47    1909       342.09
1956    48    1908       156.04
1956    49    1907        51.01
1956    50    1906         0.00
1956    51    1905         0.00
1956    52    1904         0.00
1956    53    1903         0.00
1956    54    1902         0.00
1956    55+   1901-        0.00
1957    12-   1945+        0.00
1957    13    1944         0.00
1957    14    1943        58.01
1957    15    1942       181.02
1957    16    1941      1088.14
1957    17    1940      5341.71
1957    18    1939     13771.84
1957    19    1938     24812.31
1957    20    1937     35768.77
1957    21    1936     45899.12
1957    22    1935     54749.31
1957    23    1934     58516.81
1957    24    1933     51021.80
1957    25    1932     53344.12
1957    26    1931     54634.29
1957    27    1930     56017.47
1957    28    1929     52904.06
1957    29    1928     50623.75
1957    30    1927     45828.11
1957    31    1926     43417.79
1957    32    1925     41078.48
1957    33    1924     37071.94
1957    34    1923     33153.42
1957    35    1922     30504.07
1957    36    1921     27862.72
1957    37    1920     23433.13
1957    38    1919     15469.06
1957    39    1918      8336.11
1957    40    1917      6560.88
1957    41    1916      5391.72
1957    42    1915      5122.68
1957    43    1914      4472.60
1957    44    1913      2795.37
1957    45    1912      1550.21
1957    46    1911       887.12
1957    47    1910       349.05
1957    48    1909       159.02
1957    49    1908        52.00
1957    50    1907         0.00
1957    51    1906         0.00
1957    52    1905         0.00
1957    53    1904         0.00
1957    54    1903         0.00
1957    55+   1902-        0.00
1958    12-   1946+        0.00
1958    13    1945         1.00
1958    14    1944        41.01
1958    15    1943       206.02
1958    16    1942       996.12
1958    17    1941      4699.53
1958    18    1940     14036.58
1958    19    1939     26020.93
1958    20    1938     37287.21
1958    21    1937     46216.21
1958    22    1936     56171.34
1958    23    1935     61881.98
1958    24    1934     63106.12
1958    25    1933     52877.97
1958    26    1932     52964.97
1958    27    1931     53476.03
1958    28    1930     53604.05
1958    29    1929     50114.65
1958    30    1928     46669.26
1958    31    1927     41672.70
1958    32    1926     39528.45
1958    33    1925     36736.14
1958    34    1924     32697.69
1958    35    1923     29007.27
1958    36    1922     26156.95
1958    37    1921     23162.62
1958    38    1920     19291.18
1958    39    1919     12341.39
1958    40    1918      6456.73
1958    41    1917      4708.53
1958    42    1916      3785.43
1958    43    1915      3250.37
1958    44    1914      2528.29
1958    45    1913      1476.17
1958    46    1912       774.08
1958    47    1911       304.04
1958    48    1910       139.02
1958    49    1909        45.01
1958    50    1908        14.74
1958    51    1907         8.23
1958    52    1906         4.72
