West Germany, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
2009    12-   1997+        0.00        0.00        0.00        0.00        0.00        0.00
2009    13    1996         0.69        0.69        0.00        0.00        0.00        0.00
2009    14    1995        34.31       34.31        0.00        0.00        0.00        0.00
2009    15    1994       160.00      156.00        4.00        0.00        0.00        0.00
2009    16    1993       659.00      648.00       11.00        0.00        0.00        0.00
2009    17    1992      1621.00     1569.00       50.00        1.00        1.00        0.00
2009    18    1991      2927.00     2707.00      203.00       15.00        2.00        0.00
2009    19    1990      5660.00     5039.00      578.00       41.00        2.00        0.00
2009    20    1989      8280.00     6926.00     1208.00      136.00       10.00        0.00
2009    21    1988     11053.00     8470.00     2242.00      301.00       34.00        6.00
2009    22    1987     13203.00     9397.00     3180.00      543.00       67.00       16.00
2009    23    1986     15719.00    10415.00     4237.00      879.00      156.00       32.00
2009    24    1985     18225.00    11421.00     5260.00     1220.00      256.00       68.00
2009    25    1984     21734.00    13182.00     6468.00     1612.00      380.00       92.00
2009    26    1983     25551.00    14980.00     7857.00     2044.00      498.00      172.00
2009    27    1982     29885.00    16719.00     9603.00     2691.00      625.00      247.00
2009    28    1981     33435.00    18103.00    11068.00     3109.00      803.00      352.00
2009    29    1980     36206.00    18973.00    12232.00     3611.00      959.00      431.00
2009    30    1979     36656.00    18586.00    12690.00     3848.00     1068.00      464.00
2009    31    1978     36835.00    17831.00    13199.00     4158.00     1119.00      528.00
2009    32    1977     35827.00    16236.00    13479.00     4289.00     1220.00      603.00
2009    33    1976     34132.00    14468.00    13264.00     4531.00     1284.00      585.00
2009    34    1975     30812.00    11988.00    12344.00     4403.00     1399.00      678.00
2009    35    1974     27744.00    10239.00    11116.00     4450.00     1244.00      695.00
2009    36    1973     24072.00     8404.00     9503.00     4203.00     1258.00      704.00
2009    37    1972     21253.00     7152.00     8361.00     3846.00     1181.00      713.00
2009    38    1971     18021.00     5860.00     7026.00     3319.00     1103.00      713.00
2009    39    1970     14272.00     4432.00     5412.00     2847.00      959.00      622.00
2009    40    1969     11160.00     3505.00     4080.00     2140.00      845.00      590.00
2009    41    1968      7810.00     2429.00     2713.00     1533.00      616.00      519.00
2009    42    1967      4729.00     1394.00     1630.00      950.00      421.00      334.00
2009    43    1966      2784.00      824.00      889.00      533.00      270.00      268.00
2009    44    1965      1512.00      426.00      401.00      305.00      171.00      209.00
2009    45    1964       740.00      228.00      191.00      150.00       67.00      104.00
2009    46    1963       329.00      102.00       80.00       64.00       35.00       48.00
2009    47    1962       146.00       52.00       33.00       25.00       14.00       22.00
2009    48    1961        89.00       33.00       23.00       16.00       10.00        7.00
2009    49    1960        43.00       15.00       10.00        8.00        6.00        4.00
