West Germany, Crude birth rate
Last modified: 04/02/2019
Year      CBR
1956    16.01
1957    16.60
1958    16.62
1959    17.30
1960    17.41
1961    17.99
1962    17.89
1963    18.31
1964    18.29
1965    17.71
1966    17.63
1967    17.02
1968    16.10
1969    14.85
1970    13.27
1971    12.71
1972    11.37
1973    10.26
1974    10.09
1975     9.71
1976     9.80
1977     9.48
1978     9.40
1979     9.48
1980    10.08
1981    10.13
1982    10.08
1983     9.67
1984     9.55
1985     9.60
1986    10.25
1987    10.49
1988    11.02
1989    10.97
1990    11.57
1991    11.34
1992    11.18
1993    11.05
1994    10.57
1995    10.39
1996    10.68
1997    10.80
1998    10.34
1999    10.04
2000     9.90
2001     9.43
2002     9.19
2003     8.98
2004     8.91
2005     8.65
2006     8.45
2007     8.57
2008     8.51
2009     8.27
2010     8.42
2011     8.24
2012     8.35
2013     8.45
2014     8.83
2015     9.07
2016     9.70
2017     9.60
