West Germany, Cumulative period fertility rates (Lexis squares)
Last modified: 04/02/2019
Year    Age     CPFR
1956    12     0.000
1956    13     0.000
1956    14     0.000
1956    15     0.000
1956    16     0.001
1956    17     0.007
1956    18     0.023
1956    19     0.062
1956    20     0.127
1956    21     0.217
1956    22     0.329
1956    23     0.460
1956    24     0.602
1956    25     0.749
1956    26     0.895
1956    27     1.038
1956    28     1.176
1956    29     1.307
1956    30     1.430
1956    31     1.541
1956    32     1.642
1956    33     1.736
1956    34     1.818
1956    35     1.890
1956    36     1.952
1956    37     2.006
1956    38     2.052
1956    39     2.090
1956    40     2.120
1956    41     2.144
1956    42     2.162
1956    43     2.174
1956    44     2.182
1956    45     2.187
1956    46     2.190
1956    47     2.191
1956    48     2.191
1956    49     2.192
1956    50     2.192
1956    51     2.192
1956    52     2.192
1956    53     2.192
1956    54     2.192
1956    55     2.192
1957    12     0.000
1957    13     0.000
1957    14     0.000
1957    15     0.000
1957    16     0.002
1957    17     0.007
1957    18     0.026
1957    19     0.066
1957    20     0.132
1957    21     0.226
1957    22     0.342
1957    23     0.479
1957    24     0.628
1957    25     0.785
1957    26     0.942
1957    27     1.094
1957    28     1.238
1957    29     1.375
1957    30     1.501
1957    31     1.617
1957    32     1.720
1957    33     1.814
1957    34     1.899
1957    35     1.974
1957    36     2.039
1957    37     2.093
1957    38     2.140
1957    39     2.178
1957    40     2.209
1957    41     2.233
1957    42     2.250
1957    43     2.262
1957    44     2.271
1957    45     2.275
1957    46     2.278
1957    47     2.279
1957    48     2.280
1957    49     2.280
1957    50     2.280
1957    51     2.280
1957    52     2.280
1957    53     2.280
1957    54     2.280
1957    55     2.280
1958    12     0.000
1958    13     0.000
1958    14     0.000
1958    15     0.000
1958    16     0.002
1958    17     0.008
1958    18     0.026
1958    19     0.066
1958    20     0.131
1958    21     0.222
1958    22     0.339
1958    23     0.477
1958    24     0.628
1958    25     0.788
1958    26     0.947
1958    27     1.103
1958    28     1.251
1958    29     1.389
1958    30     1.517
1958    31     1.633
1958    32     1.739
1958    33     1.832
1958    34     1.915
1958    35     1.990
1958    36     2.055
1958    37     2.109
1958    38     2.154
1958    39     2.192
1958    40     2.222
1958    41     2.245
1958    42     2.262
1958    43     2.273
1958    44     2.281
1958    45     2.285
1958    46     2.287
1958    47     2.289
1958    48     2.289
1958    49     2.289
1958    50     2.289
1958    51     2.289
1958    52     2.289
1958    53     2.289
1958    54     2.289
1958    55     2.289
1959    12     0.000
1959    13     0.000
1959    14     0.000
1959    15     0.000
1959    16     0.002
1959    17     0.009
1959    18     0.030
1959    19     0.073
1959    20     0.144
1959    21     0.240
1959    22     0.361
1959    23     0.504
1959    24     0.660
1959    25     0.824
1959    26     0.991
1959    27     1.154
1959    28     1.308
1959    29     1.451
1959    30     1.581
1959    31     1.700
1959    32     1.807
1959    33     1.903
1959    34     1.986
1959    35     2.060
1959    36     2.126
1959    37     2.183
1959    38     2.230
1959    39     2.269
1959    40     2.299
1959    41     2.324
1959    42     2.341
1959    43     2.353
1959    44     2.360
1959    45     2.364
1959    46     2.366
1959    47     2.367
1959    48     2.368
1959    49     2.368
1959    50     2.368
1959    51     2.368
1959    52     2.368
1959    53     2.368
1959    54     2.368
1959    55     2.368
1960    12     0.000
1960    13     0.000
1960    14     0.000
1960    15     0.001
1960    16     0.003
1960    17     0.011
1960    18     0.033
1960    19     0.079
1960    20     0.152
1960    21     0.250
1960    22     0.370
1960    23     0.511
1960    24     0.667
1960    25     0.832
1960    26     0.999
1960    27     1.162
1960    28     1.316
1960    29     1.461
1960    30     1.592
1960    31     1.711
1960    32     1.819
1960    33     1.914
1960    34     1.998
1960    35     2.070
1960    36     2.134
1960    37     2.189
1960    38     2.236
1960    39     2.275
1960    40     2.305
1960    41     2.328
1960    42     2.345
1960    43     2.357
1960    44     2.364
1960    45     2.368
1960    46     2.370
1960    47     2.371
1960    48     2.372
1960    49     2.372
1960    50     2.372
1960    51     2.372
1960    52     2.372
1960    53     2.372
1960    54     2.372
1960    55     2.372
1961    12     0.000
1961    13     0.000
1961    14     0.000
1961    15     0.001
