West Germany, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 04/02/2019
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
2009    12     0.000     0.000     0.000     0.000     0.000     0.000
2009    13     0.000     0.000     0.000     0.000     0.000     0.000
2009    14     0.000     0.000     0.000     0.000     0.000     0.000
2009    15     0.000     0.000     0.000     0.000     0.000     0.000
2009    16     0.001     0.001     0.000     0.000     0.000     0.000
2009    17     0.005     0.004     0.000     0.000     0.000     0.000
2009    18     0.011     0.010     0.000     0.000     0.000     0.000
2009    19     0.022     0.021     0.001     0.000     0.000     0.000
2009    20     0.041     0.037     0.004     0.000     0.000     0.000
2009    21     0.067     0.058     0.008     0.001     0.000     0.000
2009    22     0.099     0.081     0.016     0.002     0.000     0.000
2009    23     0.138     0.108     0.025     0.004     0.000     0.000
2009    24     0.184     0.137     0.038     0.007     0.001     0.000
2009    25     0.238     0.171     0.054     0.011     0.002     0.000
2009    26     0.302     0.209     0.074     0.015     0.003     0.001
2009    27     0.375     0.251     0.096     0.022     0.005     0.001
2009    28     0.456     0.295     0.123     0.029     0.006     0.002
2009    29     0.545     0.343     0.153     0.038     0.009     0.003
2009    30     0.639     0.391     0.185     0.047     0.011     0.004
2009    31     0.738     0.440     0.220     0.058     0.014     0.006
2009    32     0.836     0.486     0.256     0.069     0.017     0.007
2009    33     0.930     0.528     0.292     0.081     0.021     0.009
2009    34     1.018     0.564     0.327     0.093     0.024     0.010
2009    35     1.098     0.594     0.358     0.105     0.028     0.012
2009    36     1.167     0.618     0.386     0.117     0.031     0.014
2009    37     1.225     0.638     0.409     0.127     0.034     0.016
2009    38     1.270     0.653     0.427     0.136     0.037     0.018
2009    39     1.306     0.665     0.440     0.142     0.039     0.019
2009    40     1.332     0.673     0.450     0.148     0.041     0.020
2009    41     1.350     0.679     0.456     0.151     0.043     0.021
2009    42     1.362     0.682     0.460     0.153     0.044     0.022
2009    43     1.368     0.684     0.463     0.155     0.044     0.023
2009    44     1.372     0.685     0.464     0.155     0.045     0.023
2009    45     1.374     0.686     0.464     0.156     0.045     0.023
2009    46     1.375     0.686     0.465     0.156     0.045     0.024
2009    47     1.375     0.686     0.465     0.156     0.045     0.024
2009    48     1.376     0.686     0.465     0.156     0.045     0.024
2009    49     1.376     0.686     0.465     0.156     0.045     0.024
2009    50     1.376     0.686     0.465     0.156     0.045     0.024
2009    51     1.376     0.686     0.465     0.156     0.045     0.024
2009    52     1.376     0.686     0.465     0.156     0.045     0.024
2009    53     1.376     0.686     0.465     0.156     0.045     0.024
2009    54     1.376     0.686     0.465     0.156     0.045     0.024
2009    55     1.376     0.686     0.465     0.156     0.045     0.024
2010    12     0.000     0.000     0.000     0.000     0.000     0.000
2010    13     0.000     0.000     0.000     0.000     0.000     0.000
2010    14     0.000     0.000     0.000     0.000     0.000     0.000
2010    15     0.000     0.000     0.000     0.000     0.000     0.000
2010    16     0.001     0.001     0.000     0.000     0.000     0.000
2010    17     0.004     0.004     0.000     0.000     0.000     0.000
2010    18     0.010     0.010     0.000     0.000     0.000     0.000
2010    19     0.022     0.020     0.001     0.000     0.000     0.000
2010    20     0.040     0.036     0.004     0.000     0.000     0.000
2010    21     0.064     0.056     0.008     0.001     0.000     0.000
2010    22     0.096     0.078     0.015     0.002     0.000     0.000
2010    23     0.133     0.104     0.025     0.004     0.001     0.000
2010    24     0.178     0.133     0.037     0.007     0.001     0.000
2010    25     0.232     0.166     0.053     0.011     0.002     0.000
2010    26     0.295     0.204     0.072     0.016     0.003     0.001
2010    27     0.368     0.246     0.094     0.022     0.005     0.001
2010    28     0.450     0.291     0.121     0.029     0.006     0.002
2010    29     0.540     0.340     0.151     0.038     0.009     0.003
2010    30     0.637     0.390     0.184     0.048     0.011     0.004
2010    31     0.738     0.440     0.219     0.059     0.014     0.006
2010    32     0.840     0.488     0.257     0.070     0.017     0.007
2010    33     0.938     0.531     0.294     0.083     0.021     0.009
2010    34     1.029     0.568     0.331     0.095     0.024     0.011
2010    35     1.112     0.600     0.364     0.108     0.028     0.013
2010    36     1.185     0.626     0.393     0.120     0.031     0.015
2010    37     1.247     0.646     0.418     0.131     0.035     0.017
2010    38     1.296     0.662     0.437     0.141     0.038     0.019
2010    39     1.333     0.674     0.451     0.148     0.040     0.020
2010    40     1.361     0.682     0.462     0.154     0.042     0.021
2010    41     1.381     0.688     0.469     0.158     0.044     0.022
2010    42     1.393     0.692     0.473     0.160     0.045     0.023
2010    43     1.400     0.694     0.475     0.161     0.045     0.024
2010    44     1.404     0.696     0.477     0.162     0.046     0.024
2010    45     1.406     0.696     0.477     0.163     0.046     0.024
2010    46     1.408     0.696     0.478     0.163     0.046     0.024
