West Germany, Cumulative period fertility rates (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY  Cohort     CPFR
1956   12    1944     0.000
1956   13    1943     0.000
1956   14    1942     0.000
1956   15    1941     0.000
1956   16    1940     0.001
1956   17    1939     0.003
1956   18    1938     0.012
1956   19    1937     0.038
1956   20    1936     0.090
1956   21    1935     0.168
1956   22    1934     0.270
1956   23    1933     0.393
1956   24    1932     0.531
1956   25    1931     0.676
1956   26    1930     0.824
1956   27    1929     0.969
1956   28    1928     1.109
1956   29    1927     1.244
1956   30    1926     1.372
1956   31    1925     1.489
1956   32    1924     1.594
1956   33    1923     1.692
1956   34    1922     1.780
1956   35    1921     1.857
1956   36    1920     1.924
1956   37    1919     1.982
1956   38    1918     2.032
1956   39    1917     2.073
1956   40    1916     2.107
1956   41    1915     2.134
1956   42    1914     2.155
1956   43    1913     2.170
1956   44    1912     2.180
1956   45    1911     2.187
1956   46    1910     2.190
1956   47    1909     2.192
1956   48    1908     2.193
1956   49    1907     2.193
1956   50    1906     2.193
1956   51    1905     2.193
1956   52    1904     2.193
1956   53    1903     2.193
1956   54    1902     2.193
1956   55    1901     2.193
1957   12    1945     0.000
1957   13    1944     0.000
1957   14    1943     0.000
1957   15    1942     0.000
1957   16    1941     0.001
1957   17    1940     0.003
1957   18    1939     0.014
1957   19    1938     0.042
1957   20    1937     0.095
1957   21    1936     0.176
1957   22    1935     0.281
1957   23    1934     0.409
1957   24    1933     0.553
1957   25    1932     0.707
1957   26    1931     0.864
1957   27    1930     1.021
1957   28    1929     1.168
1957   29    1928     1.309
1957   30    1927     1.441
1957   31    1926     1.562
1957   32    1925     1.672
1957   33    1924     1.770
1957   34    1923     1.860
1957   35    1922     1.940
1957   36    1921     2.009
1957   37    1920     2.070
1957   38    1919     2.119
1957   39    1918     2.162
1957   40    1917     2.195
1957   41    1916     2.223
1957   42    1915     2.244
1957   43    1914     2.259
1957   44    1913     2.269
1957   45    1912     2.275
1957   46    1911     2.278
1957   47    1910     2.280
1957   48    1909     2.281
1957   49    1908     2.281
1957   50    1907     2.281
1957   51    1906     2.281
1957   52    1905     2.281
1957   53    1904     2.281
1957   54    1903     2.281
1957   55    1902     2.281
1958   12    1946     0.000
1958   13    1945     0.000
1958   14    1944     0.000
1958   15    1943     0.000
1958   16    1942     0.001
1958   17    1941     0.003
1958   18    1940     0.014
1958   19    1939     0.042
1958   20    1938     0.094
1958   21    1937     0.172
1958   22    1936     0.277
1958   23    1935     0.405
1958   24    1934     0.551
1958   25    1933     0.708
1958   26    1932     0.869
1958   27    1931     1.026
1958   28    1930     1.180
1958   29    1929     1.322
1958   30    1928     1.456
1958   31    1927     1.578
1958   32    1926     1.689
1958   33    1925     1.789
1958   34    1924     1.876
1958   35    1923     1.955
1958   36    1922     2.025
1958   37    1921     2.085
1958   38    1920     2.134
1958   39    1919     2.175
1958   40    1918     2.209
1958   41    1917     2.235
1958   42    1916     2.255
1958   43    1915     2.269
1958   44    1914     2.278
1958   45    1913     2.284
1958   46    1912     2.287
1958   47    1911     2.289
1958   48    1910     2.290
1958   49    1909     2.290
1958   50    1908     2.290
1958   51    1907     2.290
1958   52    1906     2.290
1958   53    1905     2.290
1958   54    1904     2.290
1958   55    1903     2.290
1959   12    1947     0.000
1959   13    1946     0.000
1959   14    1945     0.000
1959   15    1944     0.000
1959   16    1943     0.001
1959   17    1942     0.004
1959   18    1941     0.016
1959   19    1940     0.046
1959   20    1939     0.103
1959   21    1938     0.187
1959   22    1937     0.296
1959   23    1936     0.430
1959   24    1935     0.579
1959   25    1934     0.741
1959   26    1933     0.907
1959   27    1932     1.073
1959   28    1931     1.232
1959   29    1930     1.382
1959   30    1929     1.518
1959   31    1928     1.643
1959   32    1927     1.756
1959   33    1926     1.857
1959   34    1925     1.947
1959   35    1924     2.025
1959   36    1923     2.095
1959   37    1922     2.156
1959   38    1921     2.208
1959   39    1920     2.252
1959   40    1919     2.285
1959   41    1918     2.312
1959   42    1917     2.333
1959   43    1916     2.347
1959   44    1915     2.357
1959   45    1914     2.362
1959   46    1913     2.366
1959   47    1912     2.367
1959   48    1911     2.368
1959   49    1910     2.368
1959   50    1909     2.368
1959   51    1908     2.368
1959   52    1907     2.368
1959   53    1906     2.368
1959   54    1905     2.368
1959   55    1904     2.368
1960   12    1948     0.000
1960   13    1947     0.000
1960   14    1946     0.000
1960   15    1945     0.000
1960   16    1944     0.001
1960   17    1943     0.005
1960   18    1942     0.019
1960   19    1941     0.051
1960   20    1940     0.110
1960   21    1939     0.196
1960   22    1938     0.305
1960   23    1937     0.436
1960   24    1936     0.587
1960   25    1935     0.747
1960   26    1934     0.915
1960   27    1933     1.081
1960   28    1932     1.240
1960   29    1931     1.389
1960   30    1930     1.528
1960   31    1929     1.653
1960   32    1928     1.767
1960   33    1927     1.868
1960   34    1926     1.957
1960   35    1925     2.035
1960   36    1924     2.102
1960   37    1923     2.162
1960   38    1922     2.214
1960   39    1921     2.257
1960   40    1920     2.291
1960   41    1919     2.317
1960   42    1918     2.337
1960   43    1917     2.351
1960   44    1916     2.360
1960   45    1915     2.366
1960   46    1914     2.369
1960   47    1913     2.370
1960   48    1912     2.371
1960   49    1911     2.371
1960   50    1910     2.371
1960   51    1909     2.371
1960   52    1908     2.371
1960   53    1907     2.371
1960   54    1906     2.371
1960   55    1905     2.371
1961   12    1949     0.000
1961   13    1948     0.000
1961   14    1947     0.000
1961   15    1946     0.000
1961   16    1945     0.001
1961   17    1944     0.006
1961   18    1943     0.023
1961   19    1942     0.060
1961   20    1941     0.123
1961   21    1940     0.215
1961   22    1939     0.332
1961   23    1938     0.471
1961   24    1937     0.627
1961   25    1936     0.794
1961   26    1935     0.964
1961   27    1934     1.133
1961   28    1933     1.298
1961   29    1932     1.453
1961   30    1931     1.595
1961   31    1930     1.724
1961   32    1929     1.838
1961   33    1928     1.940
1961   34    1927     2.030
1961   35    1926     2.109
1961   36    1925     2.177
1961   37    1924     2.237
1961   38    1923     2.288
1961   39    1922     2.331
1961   40    1921     2.365
1961   41    1920     2.392
1961   42    1919     2.412
1961   43    1918     2.426
1961   44    1917     2.435
1961   45    1916     2.440
1961   46    1915     2.443
1961   47    1914     2.445
1961   48    1913     2.445
1961   49    1912     2.446
1961   50    1911     2.446
1961   51    1910     2.446
1961   52    1909     2.446
1961   53    1908     2.446
1961   54    1907     2.446
1961   55    1906     2.446
1962   12    1950     0.000
1962   13    1949     0.000
1962   14    1948     0.000
1962   15    1947     0.000
1962   16    1946     0.001
1962   17    1945     0.006
1962   18    1944     0.025
1962   19    1943     0.065
1962   20    1942     0.131
1962   21    1941     0.225
1962   22    1940     0.343
1962   23    1939     0.486
1962   24    1938     0.646
1962   25    1937     0.815
1962   26    1936     0.986
1962   27    1935     1.155
1962   28    1934     1.317
1962   29    1933     1.470
1962   30    1932     1.611
1962   31    1931     1.739
1962   32    1930     1.853
1962   33    1929     1.952
1962   34    1928     2.040
1962   35    1927     2.117
1962   36    1926     2.183
1962   37    1925     2.240
1962   38    1924     2.289
1962   39    1923     2.330
1962   40    1922     2.363
1962   41    1921     2.389
1962   42    1920     2.408
1962   43    1919     2.422
1962   44    1918     2.431
1962   45    1917     2.436
1962   46    1916     2.439
1962   47    1915     2.441
1962   48    1914     2.441
1962   49    1913     2.441
1962   50    1912     2.441
1962   51    1911     2.442
1962   52    1910     2.442
1962   53    1909     2.442
1962   54    1908     2.442
1962   55    1907     2.442
1963   12    1951     0.000
1963   13    1950     0.000
1963   14    1949     0.000
1963   15    1948     0.000
1963   16    1947     0.001
1963   17    1946     0.006
1963   18    1945     0.027
1963   19    1944     0.073
1963   20    1943     0.147
1963   21    1942     0.247
1963   22    1941     0.369
1963   23    1940     0.516
1963   24    1939     0.679
1963   25    1938     0.852
1963   26    1937     1.029
1963   27    1936     1.203
1963   28    1935     1.370
1963   29    1934     1.525
1963   30    1933     1.668
1963   31    1932     1.800
1963   32    1931     1.918
1963   33    1930     2.021
1963   34    1929     2.111
1963   35    1928     2.189
1963   36    1927     2.257
1963   37    1926     2.315
1963   38    1925     2.365
1963   39    1924     2.405
1963   40    1923     2.439
1963   41    1922     2.465
1963   42    1921     2.485
1963   43    1920     2.499
1963   44    1919     2.507
1963   45    1918     2.513
1963   46    1917     2.516
1963   47    1916     2.517
1963   48    1915     2.518
1963   49    1914     2.518
1963   50    1913     2.518
1963   51    1912     2.518
1963   52    1911     2.518
1963   53    1910     2.518
1963   54    1909     2.518
1963   55    1908     2.518
1964   12    1952     0.000
1964   13    1951     0.000
1964   14    1950     0.000
1964   15    1949     0.000
1964   16    1948     0.001
1964   17    1947     0.006
1964   18    1946     0.027
1964   19    1945     0.077
1964   20    1944     0.160
1964   21    1943     0.266
1964   22    1942     0.392
1964   23    1941     0.539
1964   24    1940     0.703
1964   25    1939     0.876
1964   26    1938     1.053
1964   27    1937     1.228
1964   28    1936     1.396
1964   29    1935     1.551
1964   30    1934     1.695
1964   31    1933     1.826
1964   32    1932     1.944
1964   33    1931     2.049
1964   34    1930     2.141
1964   35    1929     2.220
1964   36    1928     2.289
1964   37    1927     2.347
1964   38    1926     2.396
1964   39    1925     2.438
1964   40    1924     2.470
1964   41    1923     2.496
1964   42    1922     2.516
1964   43    1921     2.530
1964   44    1920     2.539
1964   45    1919     2.544
1964   46    1918     2.548
1964   47    1917     2.549
1964   48    1916     2.550
1964   49    1915     2.550
1964   50    1914     2.550
1964   51    1913     2.550
1964   52    1912     2.550
1964   53    1911     2.550
1964   54    1910     2.550
1964   55    1909     2.550
1965   12    1953     0.000
1965   13    1952     0.000
1965   14    1951     0.000
1965   15    1950     0.000
1965   16    1949     0.001
1965   17    1948     0.006
1965   18    1947     0.027
1965   19    1946     0.078
1965   20    1945     0.164
1965   21    1944     0.278
1965   22    1943     0.409
1965   23    1942     0.558
1965   24    1941     0.716
1965   25    1940     0.883
1965   26    1939     1.055
1965   27    1938     1.226
1965   28    1937     1.389
1965   29    1936     1.542
1965   30    1935     1.681
1965   31    1934     1.809
1965   32    1933     1.922
1965   33    1932     2.024
1965   34    1931     2.113
1965   35    1930     2.191
1965   36    1929     2.256
1965   37    1928     2.313
1965   38    1927     2.360
1965   39    1926     2.400
1965   40    1925     2.432
1965   41    1924     2.457
1965   42    1923     2.476
1965   43    1922     2.489
1965   44    1921     2.498
1965   45    1920     2.503
1965   46    1919     2.506
1965   47    1918     2.507
1965   48    1917     2.508
1965   49    1916     2.508
1965   50    1915     2.508
1965   51    1914     2.508
1965   52    1913     2.508
1965   53    1912     2.508
1965   54    1911     2.508
1965   55    1910     2.508
1966   12    1954     0.000
1966   13    1953     0.000
1966   14    1952     0.000
1966   15    1951     0.000
1966   16    1950     0.001
1966   17    1949     0.007
1966   18    1948     0.029
1966   19    1947     0.081
1966   20    1946     0.172
1966   21    1945     0.297
1966   22    1944     0.438
1966   23    1943     0.593
1966   24    1942     0.756
1966   25    1941     0.923
1966   26    1940     1.094
1966   27    1939     1.263
