West Germany, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
2009   12    1997     0.000     0.000     0.000     0.000     0.000     0.000
2009   13    1996     0.000     0.000     0.000     0.000     0.000     0.000
2009   14    1995     0.000     0.000     0.000     0.000     0.000     0.000
2009   15    1994     0.000     0.000     0.000     0.000     0.000     0.000
2009   16    1993     0.001     0.001     0.000     0.000     0.000     0.000
2009   17    1992     0.002     0.002     0.000     0.000     0.000     0.000
2009   18    1991     0.007     0.007     0.000     0.000     0.000     0.000
2009   19    1990     0.015     0.014     0.001     0.000     0.000     0.000
2009   20    1989     0.030     0.028     0.002     0.000     0.000     0.000
2009   21    1988     0.053     0.047     0.006     0.001     0.000     0.000
2009   22    1987     0.082     0.069     0.011     0.001     0.000     0.000
2009   23    1986     0.117     0.094     0.020     0.003     0.000     0.000
2009   24    1985     0.159     0.122     0.031     0.005     0.001     0.000
2009   25    1984     0.210     0.153     0.046     0.008     0.001     0.000
2009   26    1983     0.269     0.189     0.063     0.013     0.002     0.001
2009   27    1982     0.337     0.229     0.084     0.018     0.004     0.001
2009   28    1981     0.414     0.272     0.109     0.025     0.005     0.002
2009   29    1980     0.499     0.319     0.137     0.033     0.007     0.003
2009   30    1979     0.591     0.367     0.168     0.042     0.010     0.004
2009   31    1978     0.688     0.416     0.202     0.053     0.013     0.005
2009   32    1977     0.787     0.464     0.238     0.064     0.016     0.006
2009   33    1976     0.884     0.508     0.274     0.075     0.019     0.008
2009   34    1975     0.975     0.547     0.309     0.087     0.022     0.010
2009   35    1974     1.060     0.579     0.343     0.100     0.026     0.011
2009   36    1973     1.134     0.607     0.373     0.111     0.030     0.013
2009   37    1972     1.198     0.629     0.398     0.123     0.033     0.015
2009   38    1971     1.249     0.646     0.418     0.132     0.036     0.017
2009   39    1970     1.289     0.659     0.434     0.139     0.038     0.018
2009   40    1969     1.320     0.669     0.446     0.145     0.040     0.020
2009   41    1968     1.342     0.676     0.454     0.150     0.042     0.021
2009   42    1967     1.357     0.680     0.459     0.152     0.043     0.022
2009   43    1966     1.365     0.683     0.462     0.154     0.044     0.022
2009   44    1965     1.370     0.684     0.463     0.155     0.044     0.023
2009   45    1964     1.373     0.685     0.464     0.156     0.045     0.023
2009   46    1963     1.374     0.686     0.464     0.156     0.045     0.024
2009   47    1962     1.375     0.686     0.464     0.156     0.045     0.024
2009   48    1961     1.375     0.686     0.465     0.156     0.045     0.024
2009   49    1960     1.375     0.686     0.465     0.156     0.045     0.024
2009   50    1959     1.375     0.686     0.465     0.156     0.045     0.024
2009   51    1958     1.375     0.686     0.465     0.156     0.045     0.024
2009   52    1957     1.375     0.686     0.465     0.156     0.045     0.024
2009   53    1956     1.375     0.686     0.465     0.156     0.045     0.024
2009   54    1955     1.375     0.686     0.465     0.156     0.045     0.024
2009   55    1954     1.375     0.686     0.465     0.156     0.045     0.024
2010   12    1998     0.000     0.000     0.000     0.000     0.000     0.000
2010   13    1997     0.000     0.000     0.000     0.000     0.000     0.000
2010   14    1996     0.000     0.000     0.000     0.000     0.000     0.000
2010   15    1995     0.000     0.000     0.000     0.000     0.000     0.000
2010   16    1994     0.001     0.001     0.000     0.000     0.000     0.000
2010   17    1993     0.002     0.002     0.000     0.000     0.000     0.000
2010   18    1992     0.007     0.007     0.000     0.000     0.000     0.000
2010   19    1991     0.015     0.014     0.001     0.000     0.000     0.000
2010   20    1990     0.030     0.027     0.002     0.000     0.000     0.000
2010   21    1989     0.051     0.045     0.005     0.000     0.000     0.000
2010   22    1988     0.079     0.067     0.011     0.001     0.000     0.000
2010   23    1987     0.113     0.091     0.019     0.003     0.000     0.000
2010   24    1986     0.154     0.118     0.030     0.005     0.001     0.000
2010   25    1985     0.203     0.149     0.044     0.008     0.001     0.000
2010   26    1984     0.262     0.184     0.062     0.013     0.003     0.001
2010   27    1983     0.330     0.224     0.082     0.019     0.004     0.001
2010   28    1982     0.407     0.268     0.107     0.025     0.005     0.002
2010   29    1981     0.494     0.315     0.135     0.033     0.007     0.002
2010   30    1980     0.588     0.365     0.167     0.042     0.010     0.003
2010   31    1979     0.687     0.415     0.201     0.053     0.013     0.005
2010   32    1978     0.790     0.465     0.238     0.064     0.016     0.006
2010   33    1977     0.889     0.510     0.276     0.076     0.019     0.008
2010   34    1976     0.985     0.551     0.313     0.089     0.022     0.010
2010   35    1975     1.072     0.585     0.348     0.102     0.026     0.012
2010   36    1974     1.151     0.614     0.379     0.114     0.030     0.014
2010   37    1973     1.218     0.637     0.406     0.126     0.033     0.016
2010   38    1972     1.273     0.655     0.428     0.136     0.036     0.018
2010   39    1971     1.316     0.668     0.445     0.145     0.039     0.019
2010   40    1970     1.348     0.678     0.457     0.151     0.041     0.021
2010   41    1969     1.372     0.686     0.466     0.156     0.043     0.022
2010   42    1968     1.388     0.691     0.471     0.159     0.044     0.023
2010   43    1967     1.397     0.693     0.474     0.161     0.045     0.024
2010   44    1966     1.402     0.695     0.476     0.162     0.046     0.024
2010   45    1965     1.405     0.696     0.477     0.162     0.046     0.024
2010   46    1964     1.407     0.696     0.477     0.163     0.046     0.024
2010   47    1963     1.407     0.696     0.478     0.163     0.046     0.024
2010   48    1962     1.408     0.696     0.478     0.163     0.046     0.025
2010   49    1961     1.408     0.696     0.478     0.163     0.046     0.025
2010   50    1960     1.408     0.696     0.478     0.163     0.046     0.025
2010   51    1959     1.408     0.696     0.478     0.163     0.046     0.025
2010   52    1958     1.408     0.696     0.478     0.163     0.046     0.025
2010   53    1957     1.408     0.696     0.478     0.163     0.046     0.025
2010   54    1956     1.408     0.696     0.478     0.163     0.046     0.025
2010   55    1955     1.408     0.696     0.478     0.163     0.046     0.025
2011   12    1999     0.000     0.000     0.000     0.000     0.000     0.000
2011   13    1998     0.000     0.000     0.000     0.000     0.000     0.000
2011   14    1997     0.000     0.000     0.000     0.000     0.000     0.000
2011   15    1996     0.000     0.000     0.000     0.000     0.000     0.000
2011   16    1995     0.001     0.001     0.000     0.000     0.000     0.000
2011   17    1994     0.002     0.002     0.000     0.000     0.000     0.000
2011   18    1993     0.006     0.006     0.000     0.000     0.000     0.000
2011   19    1992     0.014     0.013     0.001     0.000     0.000     0.000
2011   20    1991     0.028     0.025     0.002     0.000     0.000     0.000
2011   21    1990     0.047     0.042     0.005     0.000     0.000     0.000
2011   22    1989     0.073     0.062     0.010     0.001     0.000     0.000
2011   23    1988     0.105     0.085     0.017     0.002     0.000     0.000
2011   24    1987     0.143     0.111     0.027     0.004     0.001     0.000
2011   25    1986     0.189     0.140     0.040     0.007     0.001     0.000
2011   26    1985     0.244     0.174     0.056     0.011     0.002     0.001
2011   27    1984     0.310     0.213     0.076     0.016     0.003     0.001
2011   28    1983     0.383     0.256     0.099     0.023     0.005     0.002
