West Germany, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Exposure
1956     12       369862.00
1956     13       370924.17
1956     14       409644.67
1956     15       472718.67
1956     16       491772.83
1956     17       476275.50
1956     18       450724.67
1956     19       439465.17
1956     20       436661.17
1956     21       422149.67
1956     22       373039.17
1956     23       338836.17
1956     24       348155.83
1956     25       368647.17
1956     26       381396.83
1956     27       383422.67
1956     28       383517.00
1956     29       388144.50
1956     30       410264.67
1956     31       418080.50
1956     32       414774.50
1956     33       427701.50
1956     34       451568.33
1956     35       469468.83
1956     36       418666.50
1956     37       304889.50
1956     38       241413.17
1956     39       249271.50
1956     40       306042.83
1956     41       397750.83
1956     42       449271.50
1956     43       457541.00
1956     44       452099.00
1956     45       451057.66
1956     46       464560.50
1956     47       466789.50
1956     48       457862.17
1956     49       447906.67
1956     50       437447.00
1956     51       427572.33
1956     52       416660.00
1956     53       410307.00
1956     54       406434.33
1956     55       392492.33
1957     12       318871.50
1957     13       371578.67
1957     14       373100.33
1957     15       411844.67
1957     16       475335.17
1957     17       495075.67
1957     18       481269.17
1957     19       454914.67
1957     20       440699.33
1957     21       434529.83
1957     22       417198.00
1957     23       367782.17
1957     24       334502.50
1957     25       344164.17
1957     26       364364.17
1957     27       377473.33
1957     28       379981.83
1957     29       380496.33
1957     30       385639.00
1957     31       407924.00
1957     32       416298.17
1957     33       413143.67
1957     34       426524.83
1957     35       450616.00
1957     36       468648.17
1957     37       418436.67
1957     38       304763.17
1957     39       241197.83
1957     40       249110.83
1957     41       305531.33
1957     42       397561.00
1957     43       449320.67
1957     44       457684.67
1957     45       452422.33
1957     46       451086.50
1957     47       464633.50
1957     48       466727.83
1957     49       457616.00
1957     50       447585.00
1957     51       436962.50
1957     52       426876.83
1957     53       415861.33
1957     54       409247.17
1957     55       405244.50
1958     12       287432.34
1958     13       322213.33
1958     14       375464.33
1958     15       377093.50
1958     16       416393.50
1958     17       480258.00
1958     18       501128.00
1958     19       486536.00
1958     20       457338.00
1958     21       440174.50
1958     22       431350.17
1958     23       413544.33
1958     24       365223.33
1958     25       332371.00
1958     26       341933.00
1958     27       362375.17
1958     28       376136.50
1958     29       378925.00
1958     30       379854.83
1958     31       385343.00
1958     32       408114.50
1958     33       416784.00
1958     34       414012.17
1958     35       427530.33
1958     36       451999.33
1958     37       470162.17
1958     38       419928.17
1958     39       305918.00
1958     40       242201.00
1958     41       250208.17
1958     42       307039.83
1958     43       399669.50
1958     44       451742.33
1958     45       460236.33
1958     46       454955.33
1958     47       453628.33
1958     48       467144.83
1958     49       469067.83
1958     50       459643.00
1958     51       449456.00
1958     52       438564.00
1958     53       428227.50
1958     54       417035.33
1958     55       410172.00
1959     12       345605.87
1959     13       288494.75
1959     14       323905.17
1959     15       377515.33
1959     16       379237.67
1959     17       418517.67
1959     18       482712.17
1959     19       503549.83
1959     20       488710.00
1959     21       459090.50
1959     22       441690.67
1959     23       432570.67
1959     24       414810.67
1959     25       366341.50
1959     26       333610.50
1959     27       343064.00
1959     28       363677.83
1959     29       377217.50
1959     30       380152.83
1959     31       380988.00
1959     32       386417.00
1959     33       409345.67
1959     34       417964.00
1959     35       415162.83
1959     36       428721.83
1959     37       453173.83
1959     38       471311.00
1959     39       420843.67
1959     40       306628.33
1959     41       242785.17
1959     42       250790.33
1959     43       307720.33
1959     44       400587.00
1959     45       452512.17
1959     46       460970.83
1959     47       455496.50
1959     48       454061.33
1959     49       467416.83
1959     50       469056.17
1959     51       459515.33
1959     52       449073.00
1959     53       438020.00
1959     54       427523.83
1959     55       416073.50
1960     12       354101.91
1960     13       346334.46
1960     14       289326.27
1960     15       325176.33
1960     16       379306.17
1960     17       381076.50
1960     18       420819.00
1960     19       485554.17
1960     20       506513.67
1960     21       491041.83
1960     22       460846.00
1960     23       443021.17
1960     24       433945.00
1960     25       415785.67
1960     26       367484.83
1960     27       334545.83
1960     28       343875.33
1960     29       364442.33
1960     30       378187.33
1960     31       380929.00
1960     32       381756.17
1960     33       387260.33
1960     34       410169.83
1960     35       418771.00
1960     36       415815.17
1960     37       429330.67
1960     38       453818.33
1960     39       471973.33
1960     40       421477.00
1960     41       307051.17
1960     42       243046.50
1960     43       251076.50
1960     44       307967.50
1960     45       400803.83
1960     46       452621.00
1960     47       460966.33
1960     48       455374.00
1960     49       453825.50
1960     50       467062.33
1960     51       468483.67
1960     52       458733.33
1960     53       448166.50
1960     54       436791.67
1960     55       426087.33
1961     12       380936.37
1961     13       354611.15
1961     14       347459.11
1961     15       291215.64
1961     16       326395.33
1961     17       381469.17
1961     18       382883.33
1961     19       421011.33
1961     20       486108.00
1961     21       502806.33
1961     22       485956.33
1961     23       456473.83
1961     24       441051.17
1961     25       433344.50
1961     26       418224.83
1961     27       368970.00
1961     28       336776.50
1961     29       345278.67
1961     30       368998.00
1961     31       381031.50
1961     32       384771.83
1961     33       385642.50
1961     34       391433.50
1961     35       414636.83
1961     36       420485.17
1961     37       419097.00
1961     38       432634.50
1961     39       457098.00
1961     40       476381.50
1961     41       422606.50
1961     42       308896.17
1961     43       243579.83
1961     44       252086.83
1961     45       309385.33
1961     46       401474.67
1961     47       453812.67
1961     48       462014.17
1961     49       455344.17
1961     50       455026.00
1961     51       465878.17
1961     52       468043.17
1961     53       457690.50
1961     54       447558.50
1961     55       436266.00
1962     12       385108.35
1962     13       381137.67
1962     14       355513.83
1962     15       349196.14
1962     16       291857.32
1962     17       328018.00
1962     18       382871.00
1962     19       382483.67
1962     20       420999.83
1962     21       481893.00
1962     22       497868.33
1962     23       481759.50
1962     24       454555.33
1962     25       440728.83
1962     26       436046.67
1962     27       420073.33
1962     28       371648.50
1962     29       338505.83
1962     30       350009.33
1962     31       372057.83
1962     32       385006.67
1962     33       388647.33
1962     34       389774.67
1962     35       395853.33
1962     36       416264.67
1962     37       423622.83
1962     38       422114.33
1962     39       435562.50
1962     40       461094.00
1962     41       477149.16
1962     42       424127.00
1962     43       309029.67
1962     44       244280.00
1962     45       253165.50
1962     46       309734.00
1962     47       402201.33
1962     48       454291.83
1962     49       461384.00
1962     50       455872.83
1962     51       453253.50
1962     52       464782.17
1962     53       466407.33
1962     54       456492.00
1962     55       446462.33
1963     12       381025.96
1963     13       385522.65
1963     14       381760.36
1963     15       356317.19
1963     16       350373.65
1963     17       293197.01
1963     18       330454.33
1963     19       385795.33
1963     20       385755.33
1963     21       423790.67
1963     22       484502.83
1963     23       500339.00
1963     24       483852.67
1963     25       456615.17
1963     26       442800.67
1963     27       438014.17
1963     28       422062.67
1963     29       373429.50
