West Germany, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      Exposure
1956    12    1944      182097.67
1956    12    1943      187764.33
1956    13    1943      186990.67
1956    13    1942      183933.50
1956    14    1942      183522.33
1956    14    1941      226122.33
1956    15    1941      225784.50
1956    15    1940      246934.17
1956    16    1940      246438.17
1956    16    1939      245334.67
1956    17    1939      245222.67
1956    17    1938      231052.83
1956    18    1938      231707.00
1956    18    1937      219017.67
1956    19    1937      219523.50
1956    19    1936      219941.67
1956    20    1936      220138.33
1956    20    1935      216522.83
1956    21    1935      216123.50
1956    21    1934      206026.17
1956    22    1934      205418.67
1956    22    1933      167620.50
1956    23    1933      167039.00
1956    23    1932      171797.17
1956    24    1932      171050.17
1956    24    1931      177105.67
1956    25    1931      176212.83
1956    25    1930      192434.33
1956    26    1930      191400.00
1956    26    1929      189996.83
1956    27    1929      189038.50
1956    27    1928      194384.17
1956    28    1928      193472.33
1956    28    1927      190044.67
1956    29    1927      189111.67
1956    29    1926      199032.83
1956    30    1926      198195.67
1956    30    1925      212069.00
1956    31    1925      210988.00
1956    31    1924      207092.50
1956    32    1924      206080.33
1956    32    1923      208694.17
1956    33    1923      207662.83
1956    33    1922      220038.67
1956    34    1922      219055.50
1956    34    1921      232512.83
1956    35    1921      231513.67
1956    35    1920      237955.17
1956    36    1920      236869.67
1956    36    1919      181796.83
1956    37    1919      181169.00
1956    37    1918      123720.50
1956    38    1918      123147.00
1956    38    1917      118266.17
1956    39    1917      117703.00
1956    39    1916      131568.50
1956    40    1916      131024.00
1956    40    1915      175018.83
1956    41    1915      174000.50
1956    41    1914      223750.33
1956    42    1914      222758.83
1956    42    1913      226512.67
1956    43    1913      225264.50
1956    43    1912      232276.50
1956    44    1912      231039.50
1956    44    1911      221059.50
1956    45    1911      219808.83
1956    45    1910      231248.83
1956    46    1910      229765.50
1956    46    1909      234795.00
1956    47    1909      233238.50
1956    47    1908      233551.00
1956    48    1908      231849.34
1956    48    1907      226012.83
1956    49    1907      224214.17
1956    49    1906      223692.50
1956    50    1906      221983.00
1956    50    1905      215464.00
1956    51    1905      213652.67
1956    51    1904      213919.66
1956    52    1904      212124.67
1956    52    1903      204535.33
1956    53    1903      202747.01
1956    53    1902      207559.99
1956    54    1902      205709.34
1956    54    1901      200724.99
1956    55    1901      198825.34
1956    55    1900      193666.99
1957    12    1945      136791.50
1957    12    1944      182080.00
1957    13    1944      184608.17
1957    13    1943      186970.50
1957    14    1943      189600.00
1957    14    1942      183500.33
1957    15    1942      186096.83
1957    15    1941      225747.83
1957    16    1941      228934.33
1957    16    1940      246400.83
1957    17    1940      249894.33
1957    17    1939      245181.33
1957    18    1939      249604.83
1957    18    1938      231664.33
1957    19    1938      235437.00
1957    19    1937      219477.67
1957    20    1937      220615.50
1957    20    1936      220083.83
1957    21    1936      218452.67
1957    21    1935      216077.17
1957    22    1935      211829.50
1957    22    1934      205368.50
1957    23    1934      200784.50
1957    23    1933      166997.67
1957    24    1933      163496.50
1957    24    1932      171006.00
1957    25    1932      168006.33
1957    25    1931      176157.83
1957    26    1931      173022.33
1957    26    1930      191341.83
1957    27    1930      188499.00
1957    27    1929      188974.33
1957    28    1929      186574.83
1957    28    1928      193407.00
1957    29    1928      191455.67
1957    29    1927      189040.67
1957    30    1927      187518.17
1957    30    1926      198120.83
1957    31    1926      197021.67
1957    31    1925      210902.33
1957    32    1925      210305.00
1957    32    1924      205993.17
1957    33    1924      205576.00
1957    33    1923      207567.67
1957    34    1923      207568.33
1957    34    1922      218956.50
1957    35    1922      219216.50
1957    35    1921      231399.50
1957    36    1921      231909.67
1957    36    1920      236738.50
1957    37    1920      237370.00
1957    37    1919      181066.67
1957    38    1919      181699.83
1957    38    1918      123063.33
1957    39    1918      123572.67
1957    39    1917      117625.17
1957    40    1917      118187.33
1957    40    1916      130923.50
1957    41    1916      131674.17
1957    41    1915      173857.17
1957    42    1915      174992.17
1957    42    1914      222568.83
1957    43    1914      224260.67
1957    43    1913      225060.00
1957    44    1913      226855.17
1957    44    1912      230829.50
1957    45    1912      232860.83
1957    45    1911      219561.50
1957    46    1911      221580.17
1957    46    1910      229506.33
1957    47    1910      231683.17
1957    47    1909      232950.33
1957    48    1909      235183.17
1957    48    1908      231544.67
1957    49    1908      233738.33
1957    49    1907      223877.67
1957    50    1907      225946.17
1957    50    1906      221638.83
1957    51    1906      223672.34
1957    51    1905      213290.16
1957    52    1905      215157.50
1957    52    1904      211719.33
1957    53    1904      213529.17
1957    53    1903      202332.16
1957    54    1903      204001.34
1957    54    1902      205245.83
1957    55    1902      206912.00
1957    55    1901      198332.50
1958    12    1946      150654.67
1958    12    1945      136777.67
1958    13    1945      137624.83
1958    13    1944      184588.50
1958    14    1944      185891.83
1958    14    1943      189572.50
1958    15    1943      191028.00
1958    15    1942      186065.50
1958    16    1942      187499.00
1958    16    1941      228894.50
1958    17    1941      230407.50
1958    17    1940      249850.50
1958    18    1940      251568.83
1958    18    1939      249559.17
1958    19    1939      251149.67
1958    19    1938      235386.33
1958    20    1938      236771.00
