West Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1956     12     1944       182097.67
1956     13     1943       374755.00
1956     14     1942       367455.83
1956     15     1941       451906.83
1956     16     1940       493372.33
1956     17     1939       490557.33
1956     18     1938       462759.83
1956     19     1937       438541.17
1956     20     1936       440080.00
1956     21     1935       432646.33
1956     22     1934       411444.83
1956     23     1933       334659.50
1956     24     1932       342847.33
1956     25     1931       353318.50
1956     26     1930       383834.33
1956     27     1929       379035.33
1956     28     1928       387856.50
1956     29     1927       379156.33
1956     30     1926       397228.50
1956     31     1925       423057.00
1956     32     1924       413172.83
1956     33     1923       416357.00
1956     34     1922       439094.17
1956     35     1921       464026.50
1956     36     1920       474824.83
1956     37     1919       362965.83
1956     38     1918       246867.50
1956     39     1917       235969.17
1956     40     1916       262592.50
1956     41     1915       349019.33
1956     42     1914       446509.17
1956     43     1913       451777.17
1956     44     1912       463316.00
1956     45     1911       440868.33
1956     46     1910       461014.33
1956     47     1909       468033.50
1956     48     1908       465400.33
1956     49     1907       450227.00
1956     50     1906       445675.50
1956     51     1905       429116.67
1956     52     1904       426044.33
1956     53     1903       407282.33
1956     54     1902       413269.33
1956     55     1901       399550.33
1957     12     1945       136791.50
1957     13     1944       366688.17
1957     14     1943       376570.50
1957     15     1942       369597.17
1957     16     1941       454682.17
1957     17     1940       496295.17
1957     18     1939       494786.17
1957     19     1938       467101.33
1957     20     1937       440093.17
1957     21     1936       438536.50
1957     22     1935       427906.67
1957     23     1934       406153.00
1957     24     1933       330494.17
1957     25     1932       339012.33
1957     26     1931       349180.17
1957     27     1930       379840.83
1957     28     1929       375549.17
1957     29     1928       384862.67
1957     30     1927       376558.83
1957     31     1926       395142.50
1957     32     1925       421207.33
1957     33     1924       411569.17
1957     34     1923       415136.00
1957     35     1922       438173.00
1957     36     1921       463309.17
1957     37     1920       474108.50
1957     38     1919       362766.50
1957     39     1918       246636.00
1957     40     1917       235812.50
1957     41     1916       262597.67
1957     42     1915       348849.33
1957     43     1914       446829.50
1957     44     1913       451915.17
1957     45     1912       463690.33
1957     46     1911       441141.67
1957     47     1910       461189.50
1957     48     1909       468133.50
1957     49     1908       465283.00
1957     50     1907       449823.83
1957     51     1906       445311.17
1957     52     1905       428447.67
1957     53     1904       425248.50
1957     54     1903       406333.50
1957     55     1902       412157.83
1958     12     1946       150654.67
1958     13     1945       274402.50
1958     14     1944       370480.33
1958     15     1943       380600.50
1958     16     1942       373564.50
1958     17     1941       459302.00
1958     18     1940       501419.33
1958     19     1939       500708.83
1958     20     1938       472157.33
1958     21     1937       442331.17
1958     22     1936       437982.50
1958     23     1935       424585.67
1958     24     1934       402505.50
1958     25     1933       327868.17
1958     26     1932       336920.50
1958     27     1931       346903.67
1958     28     1930       378072.67
1958     29     1929       374040.33
1958     30     1928       383800.17
1958     31     1927       375840.33
1958     32     1926       394848.33
1958     33     1925       421503.83
1958     34     1924       412035.83
1958     35     1923       415891.67
1958     36     1922       439323.83
1958     37     1921       464704.00
1958     38     1920       475589.17
1958     39     1919       364010.33
1958     40     1918       247587.67
1958     41     1917       236739.50
1958     42     1916       263760.83
1958     43     1915       350461.17
1958     44     1914       449174.17
1958     45     1913       454235.33
1958     46     1912       466246.33
1958     47     1911       443552.83
1958     48     1910       463672.17
1958     49     1909       470550.17
1958     50     1908       467463.67
1958     51     1907       451738.17
1958     52     1906       447112.50
1958     53     1905       429877.33
1958     54     1904       426589.50
1958     55     1903       407313.50
1959     12     1947       175595.55
1959     13     1946       320894.74
1959     14     1945       275650.17
1959     15     1944       372378.33
1959     16     1943       382772.17
1959     17     1942       375614.17
1959     18     1941       461561.83
1959     19     1940       503966.17
1959     20     1939       503092.17
1959     21     1938       474094.50
1959     22     1937       443882.17
1959     23     1936       439339.50
1959     24     1935       425848.50
1959     25     1934       403689.67
1959     26     1933       329065.67
1959     27     1932       338099.83
1959     28     1931       347990.67
1959     29     1930       379318.33
1959     30     1929       375271.83
1959     31     1928       385008.00
1959     32     1927       376923.83
1959     33     1926       395960.17
1959     34     1925       422722.33
1959     35     1924       413286.00
1959     36     1923       416946.50
1959     37     1922       440486.67
1959     38     1921       465887.17
1959     39     1920       476739.17
1959     40     1919       364927.83
1959     41     1918       248254.17
1959     42     1917       237256.00
1959     43     1916       264334.67
1959     44     1915       351145.17
1959     45     1914       450048.50
1959     46     1913       454971.67
1959     47     1912       466913.50
1959     48     1911       444048.00
1959     49     1910       464052.83
1959     50     1909       470678.83
1959     51     1908       467450.83
1959     52     1907       451438.33
1959     53     1906       446733.50
1959     54     1905       429163.00
1959     55     1904       425817.17
1960     12     1948       183991.46
1960     13     1947       346175.33
1960     14     1946       321574.02
1960     15     1945       276710.17
1960     16     1944       374054.67
1960     17     1943       384704.83
1960     18     1942       377784.17
1960     19     1941       464303.50
1960     20     1940       506975.50
1960     21     1939       505653.00
1960     22     1938       476053.00
1960     23     1937       445372.00
1960     24     1936       440674.83
1960     25     1935       426905.00
1960     26     1934       404752.33
1960     27     1933       330062.67
1960     28     1932       338960.33
1960     29     1931       348807.17
1960     30     1930       380131.33
1960     31     1929       376086.50
1960     32     1928       385809.50
1960     33     1927       377731.83
1960     34     1926       396803.67
1960     35     1925       423460.50
1960     36     1924       414038.50
1960     37     1923       417577.50
1960     38     1922       441115.83
1960     39     1921       466576.50
1960     40     1920       477357.17
1960     41     1919       365400.33
1960     42     1918       248561.33
1960     43     1917       237554.17
1960     44     1916       264592.50
1960     45     1915       351413.00
1960     46     1914       450178.67
1960     47     1913       455060.83
1960     48     1912       466830.00
1960     49     1911       443850.50
1960     50     1910       463845.17
1960     51     1909       470106.00
1960     52     1908       466829.50
1960     53     1907       450543.17
1960     54     1906       445691.50
1960     55     1905       427822.67
1961     12     1949       197406.83
1961     13     1948       367575.57
1961     14     1947       347280.66
1961     15     1946       323290.20
1961     16     1945       277527.50
1961     17     1944       376070.50
1961     18     1943       386181.83
1961     19     1942       377534.67
1961     20     1941       464690.17
1961     21     1940       503668.67
1961     22     1939       500946.17
1961     23     1938       471950.33
1961     24     1937       443395.00
1961     25     1936       440380.83
1961     26     1935       429269.67
1961     27     1934       406380.33
1961     28     1933       332370.00
1961     29     1932       340351.17
1961     30     1931       353307.83
1961     31     1930       383146.83
1961     32     1929       379889.50
1961     33     1928       389674.33
1961     34     1927       381903.83
1961     35     1926       401359.00
1961     36     1925       425218.17
1961     37     1924       417352.17
1961     38     1923       420866.83
1961     39     1922       444348.50
1961     40     1921       471009.00
1961     41     1920       478659.17
1961     42     1919       367352.50
1961     43     1918       249074.67
1961     44     1917       238581.50
1961     45     1916       266009.67
1961     46     1915       352159.67
1961     47     1914       451384.67
1961     48     1913       456200.83
1961     49     1912       466875.33
1961     50     1911       445028.33
1961     51     1910       462873.33
1961     52     1909       469731.00
1961     53     1908       465899.67
1961     54     1907       450075.00
1961     55     1906       445246.17
1962     12     1950       196741.18
1962     13     1949       385920.86
1962     14     1948       367902.34
1962     15     1947       348246.24
1962     16     1946       325166.52
1962     17     1945       278354.83
1962     18     1944       378159.50
1962     19     1943       387836.00
1962     20     1942       377330.67
1962     21     1941       464340.00
1962     22     1940       499717.50
1962     23     1939       495774.50
1962     24     1938       467628.50
1962     25     1937       441401.67
1962     26     1936       440125.00
1962     27     1935       431916.33
1962     28     1934       408243.17
1962     29     1933       334940.83
1962     30     1932       341977.00
1962     31     1931       357922.17
1962     32     1930       386153.33
1962     33     1929       383748.00
1962     34     1928       393513.00
1962     35     1927       385947.50
1962     36     1926       405691.00
1962     37     1925       426762.50
1962     38     1924       420349.50
1962     39     1923       423867.67
1962     40     1922       447205.00
