West Germany, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 04/02/2019
Year       MAB     MAB40
1956     28.11     27.64
1957     28.04     27.59
1958     27.99     27.57
1959     27.92     27.50
1960     27.86     27.44
1961     27.73     27.33
1962     27.60     27.20
1963     27.52     27.14
1964     27.46     27.07
1965     27.36     26.98
1966     27.22     26.86
1967     27.12     26.76
1968     27.08     26.71
1969     27.05     26.68
1970     26.95     26.56
1971     26.82     26.43
1972     26.79     26.41
1973     26.80     26.43
1974     26.73     26.38
1975     26.77     26.46
1976     26.77     26.50
1977     26.82     26.58
1978     26.88     26.67
1979     26.99     26.80
1980     27.06     26.87
1981     27.19     27.01
1982     27.31     27.14
1983     27.49     27.31
1984     27.69     27.52
1985     27.87     27.69
1986     28.01     27.84
1987     28.13     27.95
1988     28.20     28.02
1989     28.25     28.06
1990     28.29     28.10
1991     28.30     28.10
1992     28.32     28.12
1993     28.39     28.19
1994     28.48     28.27
1995     28.59     28.38
1996     28.63     28.42
1997     28.76     28.54
1998     28.80     28.57
1999     28.88     28.64
2000     28.94     28.69
2001     29.00     28.75
2002     29.15     28.88
2003     29.30     29.02
2004     29.48     29.19
2005     29.62     29.32
2006     29.78     29.46
2007     29.99     29.65
2008     30.17     29.81
2009     30.33     29.96
2010     30.50     30.11
2011     30.65     30.25
2012     30.75     30.34
2013     30.90     30.47
2014     31.01     30.56
2015     31.05     30.60
2016     31.03     30.55
2017     31.16     30.68
