West Germany, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 04/02/2019
Cohort    CMAB    CMAB40
1941     26.07     25.94
1942     25.97     25.84
1943     25.85     25.71
1944     25.72     25.57
1945     25.67     25.51
1946     25.60     25.43
1947     25.72     25.56
1948     25.88     25.70
1949     26.05     25.86
1950     26.24     26.04
1951     26.36     26.17
1952     26.57     26.37
1953     26.75     26.55
1954     26.96     26.75
1955     27.10     26.89
1956     27.30     27.08
1957     27.49     27.25
1958     27.65     27.42
1959     27.79     27.54
1960     27.95     27.69
1961     28.15     27.89
1962     28.33     28.05
1963     28.57     28.27
1964     28.76     28.45
1965     28.98     28.65
1966     29.16     28.80
1967     29.34     28.96
1968         .     29.01
1969         .     29.02
1970         .     29.02
1971         .     29.08
1972         .     29.10
1973         .     29.10
1974         .     29.21
1975         .     29.33
1976         .     29.47
1977         .     29.56
