West Germany, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 04/02/2019
Year      sdMAB    sdMAB40
1956       5.82       5.31
1957       5.79       5.29
1958       5.73       5.25
1959       5.74       5.27
1960       5.74       5.27
1961       5.75       5.29
1962       5.74       5.28
1963       5.75       5.30
1964       5.77       5.32
1965       5.78       5.34
1966       5.78       5.35
1967       5.79       5.37
1968       5.84       5.42
1969       5.92       5.49
1970       5.99       5.55
1971       5.97       5.53
1972       5.93       5.48
1973       5.85       5.40
1974       5.69       5.26
1975       5.53       5.13
1976       5.41       5.04
1977       5.30       4.97
1978       5.19       4.90
1979       5.14       4.87
1980       5.11       4.86
1981       5.09       4.84
1982       5.04       4.81
1983       5.00       4.76
1984       4.95       4.72
1985       4.94       4.71
1986       4.91       4.69
1987       4.96       4.73
1988       4.98       4.76
1989       5.06       4.83
1990       5.08       4.85
1991       5.16       4.93
1992       5.23       4.99
1993       5.22       4.98
1994       5.24       5.01
1995       5.24       5.01
1996       5.26       5.02
1997       5.28       5.03
1998       5.32       5.07
1999       5.33       5.08
2000       5.37       5.11
2001       5.42       5.15
2002       5.43       5.16
2003       5.42       5.15
2004       5.41       5.13
2005       5.43       5.13
2006       5.43       5.13
2007       5.42       5.10
2008       5.43       5.10
2009       5.42       5.08
2010       5.40       5.05
2011       5.38       5.03
2012       5.38       5.02
2013       5.37       5.00
2014       5.35       4.98
2015       5.35       4.97
2016       5.43       5.03
2017       5.37       4.96
