West Germany, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 04/02/2019
Cohort   sdCMAB   sdCMAB40
1941       4.77       4.57
1942       4.89       4.67
1943       4.97       4.76
1944       5.08       4.86
1945       5.24       5.00
1946       5.29       5.05
1947       5.36       5.13
1948       5.44       5.20
1949       5.49       5.25
1950       5.54       5.28
1951       5.58       5.34
1952       5.60       5.36
1953       5.62       5.38
1954       5.63       5.38
1955       5.60       5.35
1956       5.58       5.32
1957       5.56       5.28
1958       5.51       5.24
1959       5.49       5.21
1960       5.50       5.21
1961       5.47       5.17
1962       5.47       5.16
1963       5.44       5.11
1964       5.43       5.09
1965       5.43       5.07
1966       5.45       5.07
1967       5.48       5.09
1968          .       5.14
1969          .       5.21
1970          .       5.30
1971          .       5.35
1972          .       5.41
1973          .       5.46
1974          .       5.47
1975          .       5.48
1976          .       5.48
1977          .       5.49
