West Germany, Period total fertility rates and period total fertility rates by age 40
Last modified: 04/02/2019
Year       TFR     TFR40
1956     2.192     2.120
1957     2.280     2.209
1958     2.289     2.222
1959     2.368     2.299
1960     2.372     2.305
1961     2.448     2.381
1962     2.443     2.378
1963     2.520     2.454
1964     2.551     2.485
1965     2.509     2.445
1966     2.535     2.474
1967     2.488     2.430
1968     2.386     2.330
1969     2.213     2.159
1970     1.991     1.941
1971     1.919     1.872
1972     1.716     1.674
1973     1.542     1.505
1974     1.511     1.477
1975     1.450     1.421
1976     1.457     1.432
1977     1.403     1.381
1978     1.379     1.360
1979     1.378     1.360
1980     1.448     1.430
1981     1.434     1.417
1982     1.407     1.390
1983     1.330     1.315
1984     1.294     1.278
1985     1.281     1.265
1986     1.345     1.329
1987     1.362     1.344
1988     1.416     1.398
1989     1.394     1.375
1990     1.459     1.439
1991     1.429     1.408
1992     1.414     1.393
1993     1.404     1.383
1994     1.358     1.337
1995     1.351     1.330
1996     1.413     1.390
1997     1.456     1.432
1998     1.429     1.404
1999     1.422     1.397
2000     1.436     1.409
2001     1.399     1.371
2002     1.389     1.360
2003     1.383     1.353
2004     1.396     1.364
2005     1.376     1.342
2006     1.363     1.327
2007     1.400     1.360
2008     1.403     1.360
2009     1.376     1.332
2010     1.408     1.361
2011     1.381     1.332
2012     1.400     1.349
2013     1.413     1.359
2014     1.471     1.413
2015     1.503     1.442
2016     1.602     1.535
2017     1.578     1.510
