West Germany, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 04/02/2019
Cohort     CCF     CCF40
1941     1.902     1.887
1942     1.850     1.834
1943     1.809     1.793
1944     1.777     1.761
1945     1.774     1.757
1946     1.778     1.761
1947     1.750     1.732
1948     1.728     1.708
1949     1.714     1.694
1950     1.700     1.679
1951     1.658     1.638
1952     1.647     1.626
1953     1.630     1.608
1954     1.607     1.584
1955     1.623     1.600
1956     1.621     1.596
1957     1.605     1.579
1958     1.608     1.582
1959     1.606     1.579
1960     1.609     1.580
1961     1.587     1.557
1962     1.574     1.542
1963     1.554     1.520
1964     1.539     1.503
1965     1.530     1.492
1966     1.510     1.469
1967     1.489     1.445
1968         .     1.442
1969         .     1.452
1970         .     1.474
1971         .     1.479
1972         .     1.500
1973         .     1.530
1974         .     1.537
1975         .     1.541
1976         .     1.534
1977         .     1.542
