West Germany, Total live births
Last modified: 04/02/2019
Year         Total
1956     855887.04
1957     892228.01
1958     904465.04
1959     951941.99
1960     968629.02
1961    1012687.04
1962    1018552.02
1963    1054123.01
1964    1065437.01
1965    1044327.98
1966    1050344.99
1967    1019459.00
1968     969824.98
1969     903455.98
1970     810807.99
1971     778525.99
1972     701213.97
1973     635632.99
1974     626372.97
1975     600512.00
1976     602850.98
1977     582343.99
1978     576467.98
1979     581984.00
1980     620656.99
1981     624556.99
1982     621173.01
1983     594177.03
1984     584156.99
1985     586155.01
1986     625963.02
1987     642010.02
1988     677259.00
1989     681537.01
1990     705048.98
1991     700399.98
1992     698906.03
1993     696713.00
1994     669988.01
1995     660841.00
1996     681456.98
1997     690711.01
1998     661719.98
1999     643886.00
2000     636102.00
2001     607824.01
2002     594099.00
2003     581366.99
2004     577291.99
2005     560092.00
2006     546690.99
2007     553892.01
2008     549231.99
2009     533380.00
2010     542345.00
2011     530360.00
2012     538753.02
2013     547092.99
2014     574503.99
2015     595320.02
2016     642162.02
2017     638504.03
